i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1011,115.025,29.22,36,159,1591.8529999999998,215.331,359.061,1552,175,85,68,46.388999999999996,27.749000000000002,28.325,0.099,94.069,1553,243,46.292,47.313,1.672,0.598,0.337
2,1011,151.003,6.306,132,159,1363.884,577.675,314.96,1338,554,44,55,41.953,30.683000000000003,104.024,0.128,55.145,1365,609,85.84,43.64,1.367,0.731,0.573
3,1020,153.947,4.371,141,159,2185.053,2959.139,212.69299999999998,2159,2926,41,67,61.003,21.289,68.381,0.28300000000000003,71.868,2168,2993,68.791,31.096999999999998,2.865,0.349,0.648
4,1034,33.445,52.583,0,159,3323.0440000000003,1448.9089999999999,142.125,3310,1423,27,52,53.756,24.491,79.825,0.643,54.12,3315,1475,73.90899999999999,25.976999999999997,2.195,0.456,0.88
5,1035,68.351,65.97,0,159,2486.24,1930.15,236.392,2467,1895,36,78,61.945,21.274,70.833,0.233,79.624,2469,1973,78.408,27.18,2.912,0.34299999999999997,0.677
6,1038,77.009,57.77,0,159,1514.681,1052.107,182.995,1488,1035,51,39,53.184,24.85,17.059,0.39,54.818000000000005,1493,1072,38.333,32.046,2.14,0.467,0.72
7,1063,156.65200000000002,1.8419999999999999,149,159,178.541,926.58,152.51,158,906,40,41,43.813,30.891,119.399,0.574,50.248999999999995,164,907,132.58,34.624,1.4180000000000001,0.705,0.828
8,1096,51.933,60.097,0,159,3293.495,3106.599,174.894,3273,3082,40,48,52.856,26.401,54.966,0.45,55.803000000000004,3275,3128,53.746,34.058,2.002,0.499,0.797
9,1101,44.967,58.466,0,159,190.3,2290.636,157.82299999999998,168,2264,43,53,60.675,23.104,51.325,0.555,62.968,176,2317,57.318999999999996,25.105,2.6260000000000003,0.381,0.878
10,1126,146.599,10.989,106,159,2796.196,2318.909,329.161,2754,2294,71,46,54.683,26.218000000000004,1.811,0.131,71.028,2754,2318,178.386,44.961000000000006,2.086,0.479,0.503
11,1130,156.012,2.25,149,159,2707.577,1351.852,251.66400000000002,2681,1326,49,53,48.255,29.816,41.591,0.22399999999999998,58.898,2685,1371,40.179,40.858000000000004,1.618,0.618,0.639
12,1145,60.247,56.419,0,159,756.6,1699.747,210.551,736,1669,45,67,58.449,24.941999999999997,66.44,0.325,67.89699999999999,759,1736,80.676,36.693000000000005,2.343,0.42700000000000005,0.628
13,1159,154.805,3.735,142,159,2681.57,2403.26,345.20300000000003,2652,2358,57,88,72.696,20.3,119.954,0.122,98.884,2656,2359,118.37899999999999,37.16,3.5810000000000004,0.27899999999999997,0.43
14,1163,136.113,15.644,90,159,882.432,2277.798,199.581,869,2235,32,72,67.057,22.081999999999997,109.191,0.36700000000000005,75.286,873,2235,106.991,24.871,3.037,0.32899999999999996,0.855
15,1167,156.20600000000002,2.6689999999999996,137,159,1496.088,3292.216,306.191,1463,3266,60,51,50.527,29.408,31.509,0.156,61.0,1463,3300,10.389000000000001,44.357,1.7180000000000002,0.5820000000000001,0.5920000000000001
16,1179,120.635,33.27,3,159,1225.146,2742.659,295.70599999999996,1182,2695,91,72,79.69,18.837,30.935,0.16899999999999998,112.161,1186,2767,39.936,33.49,4.23,0.23600000000000002,0.449
17,1292,153.17,4.803999999999999,139,159,2148.4570000000003,2947.882,225.622,2127,2909,48,79,75.569,21.769000000000002,69.71300000000001,0.319,84.50399999999999,2137,2988,69.206,29.636,3.471,0.28800000000000003,0.6629999999999999
18,1354,28.156,49.19,0,159,2867.315,333.815,173.96599999999998,2837,309,60,49,66.748,25.828000000000003,33.645,0.562,66.648,2837,350,27.719,27.986,2.5839999999999996,0.387,0.866
19,1363,46.13399999999999,59.478,0,159,3286.143,2738.302,213.137,3267,2697,35,74,66.169,26.226999999999997,77.04,0.377,78.435,3274,2771,70.641,30.906999999999996,2.523,0.396,0.794
20,1397,157.664,1.275,152,159,585.886,3068.118,308.191,573,3015,28,95,88.211,20.164,90.12700000000001,0.185,95.885,581,3015,97.792,28.0,4.375,0.22899999999999998,0.631
21,1407,157.56799999999998,1.4480000000000002,150,159,3017.946,2641.375,554.867,2968,2621,87,44,69.873,25.639,174.31900000000002,0.057,89.26899999999999,2968,2647,12.947000000000001,42.622,2.725,0.36700000000000005,0.47700000000000004
22,1454,155.999,2.923,147,159,2540.405,2489.763,326.375,2500,2455,79,75,77.45,23.903000000000002,134.03,0.172,97.801,2500,2468,142.89600000000002,38.285,3.24,0.309,0.503
23,1468,75.09899999999999,62.653,0,159,632.2080000000001,1651.3429999999998,382.96,602,1605,57,101,76.3,24.497,100.166,0.126,101.4,639,1706,84.90799999999999,48.288999999999994,3.115,0.321,0.384
24,1504,156.63299999999998,2.1959999999999997,148,159,804.5989999999999,2602.098,422.399,741,2545,110,116,125.406,15.27,46.199,0.106,158.44899999999998,741,2661,46.534,25.335,8.213,0.122,0.504
25,1515,156.284,2.866,130,159,2388.779,3201.1420000000003,281.12,2365,3172,51,57,47.965,40.216,91.46600000000001,0.24100000000000002,63.071000000000005,2376,3229,64.654,49.483999999999995,1.193,0.838,0.684
26,1540,23.561999999999998,40.997,0,159,2190.834,1332.6779999999999,158.953,2175,1302,34,60,60.881,32.207,96.705,0.7659999999999999,60.67100000000001,2187,1302,98.531,33.955,1.89,0.529,0.953
27,1565,42.61,50.638999999999996,0,159,2707.634,3335.506,179.96599999999998,2686,3306,50,60,58.474,34.077,56.165,0.607,65.0,2696,3366,67.38,40.404,1.716,0.583,0.804
28,1650,154.408,3.458,143,159,2928.853,645.002,287.421,2914,595,25,104,104.844,20.038,90.709,0.251,104.12,2934,595,92.75200000000001,24.699,5.232,0.191,0.752
29,1668,81.791,42.82899999999999,0,159,2395.769,2034.71,269.421,2374,1989,44,88,69.013,30.773000000000003,89.177,0.289,88.27799999999999,2390,2077,85.45200000000001,40.989,2.2430000000000003,0.446,0.6759999999999999
30,1748,154.753,8.951,41,159,2632.614,1444.491,403.68800000000005,2597,1408,67,70,48.61,45.785,15.659,0.135,70.57600000000001,2626,1408,97.32600000000001,64.378,1.062,0.9420000000000001,0.508
31,1772,149.939,6.17,134,159,2388.33,1431.639,248.392,2361,1401,54,58,54.56399999999999,41.35,101.419,0.361,67.801,2369,1404,127.208,49.998999999999995,1.32,0.758,0.73
32,1774,154.362,3.424,142,159,2961.429,645.0930000000001,289.865,2949,592,28,108,104.329,21.65,87.104,0.265,108.116,2957,700,87.34899999999999,25.903000000000002,4.819,0.20800000000000002,0.745
33,2008,86.76,49.386,0,159,2026.7579999999998,721.2639999999999,283.907,1991,696,84,51,72.828,35.105,2.002,0.313,84.59299999999999,1991,719,173.21099999999998,47.125,2.075,0.48200000000000004,0.6779999999999999
34,2015,157.015,3.2230000000000003,116,159,1819.104,3387.969,404.316,1764,3368,113,38,98.555,26.031999999999996,5.827999999999999,0.155,114.12700000000001,1764,3400,8.059,37.052,3.786,0.264,0.665
35,2170,93.986,43.81100000000001,0,159,1309.745,662.0889999999999,338.13199999999995,1280,624,58,91,74.953,36.861999999999995,73.64,0.239,91.92399999999999,1305,715,81.87,52.63,2.033,0.49200000000000005,0.5870000000000001
36,2296,154.428,3.883,141,159,1822.243,901.561,395.103,1787,865,71,73,55.486999999999995,52.685,32.343,0.185,73.553,1819,865,97.02799999999999,66.12899999999999,1.053,0.9490000000000001,0.599
37,2605,154.248,3.562,144,159,2348.996,1234.646,571.938,2310,1186,84,110,85.04,39.003,58.198,0.1,131.469,2317,1296,56.793,57.772,2.18,0.45899999999999996,0.491
38,2621,155.227,3.484,139,159,2342.606,1660.3429999999998,451.63,2312,1617,66,89,68.941,48.406000000000006,61.227,0.161,93.005,2314,1695,53.746,57.87,1.4240000000000002,0.7020000000000001,0.593
39,2719,154.59799999999998,3.764,142,159,2218.172,1508.3929999999998,817.335,2183,1435,68,132,86.229,40.148,71.911,0.051,137.361,2200,1567,73.94,62.845,2.148,0.466,0.435
40,2815,97.756,43.077,0,159,412.426,1992.629,438.274,378,1952,79,89,66.08800000000001,54.233000000000004,27.29,0.184,96.773,383,2041,66.87899999999999,69.104,1.219,0.821,0.593
41,3519,58.349,53.637,0,159,3232.9840000000004,1056.231,548.257,3139,1022,152,66,111.182,40.299,4.595,0.147,152.266,3139,1077,176.611,64.142,2.759,0.36200000000000004,0.521
42,3548,108.521,45.288999999999994,0,159,765.921,3008.408,615.654,729,2942,93,134,101.41799999999999,44.543,80.479,0.11800000000000001,148.486,753,3075,62.745,81.142,2.2769999999999997,0.439,0.457
43,3596,153.441,5.375,123,159,2457.445,1781.2379999999998,790.673,2419,1733,86,121,82.45200000000001,55.53,107.45700000000001,0.07200000000000001,131.095,2440,1735,114.806,81.141,1.485,0.6729999999999999,0.506
44,3647,96.37299999999999,46.825,0,159,1089.367,2851.2329999999997,651.151,1032,2805,109,98,96.99,47.876000000000005,38.247,0.10800000000000001,125.0,1035,2897,36.87,82.521,2.026,0.494,0.517
45,3747,93.215,37.771,0,159,2570.342,1867.658,490.642,2523,1824,78,108,75.692,63.03,113.145,0.196,110.85600000000001,2572,1824,103.03299999999999,77.071,1.2009999999999998,0.833,0.5710000000000001
46,3782,151.37,10.958,54,159,3158.4320000000002,936.225,636.34,3123,882,71,120,83.602,57.599,83.251,0.11699999999999999,124.455,3147,882,105.376,67.613,1.4509999999999998,0.6890000000000001,0.565
47,4086,112.719,26.945,27,159,1864.7939999999999,3145.47,439.32800000000003,1791,3099,144,85,129.123,40.291,28.146,0.266,148.43200000000002,1791,3152,14.036,55.54600000000001,3.205,0.312,0.6679999999999999
48,4183,72.19800000000001,56.165,0,159,1519.068,318.116,895.904,1472,255,146,132,101.20299999999999,52.626999999999995,41.653999999999996,0.065,181.025,1475,386,37.819,99.00399999999999,1.923,0.52,0.359
49,4453,138.93,15.716,83,159,2809.0409999999997,3062.9629999999997,662.607,2737,2991,120,122,106.63,53.172,124.615,0.127,159.138,2737,2992,136.273,88.0,2.005,0.499,0.499
50,4496,72.703,53.696999999999996,0,159,2311.4829999999997,2976.1609999999996,927.82,2237,2868,133,191,95.65799999999999,59.843,89.195,0.066,191.128,2288,3059,87.90100000000001,109.28200000000001,1.598,0.626,0.331
51,4513,152.391,5.399,136,159,2045.777,2736.715,724.85,2000,2658,91,140,100.21600000000001,57.338,120.292,0.10800000000000001,148.762,2017,2658,110.87200000000001,78.126,1.7480000000000002,0.5720000000000001,0.535
