i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1000,46.68,42.108000000000004,0,128,2980.719,602.0369999999999,133.196,2958,582,42,37,40.205999999999996,31.668000000000003,0.614,0.708,42.57899999999999,2958,599,170.53799999999998,34.96,1.27,0.7879999999999999,0.8740000000000001
2,1000,121.21799999999999,4.773,110,129,2802.4809999999998,2208.686,164.953,2792,2172,24,67,61.323,20.763,93.796,0.462,67.067,2796,2239,87.436,23.676,2.9539999999999997,0.33899999999999997,0.8540000000000001
3,1001,85.86399999999999,33.845,0,129,2095.492,3303.698,182.451,2072,3272,46,54,50.699,25.139,51.602,0.37799999999999995,57.385,2082,3326,67.457,33.411,2.017,0.496,0.674
4,1004,55.95,36.23,3,129,262.105,247.938,126.368,243,227,37,42,43.498000000000005,29.388,59.1,0.79,45.277,250,268,59.47,31.305,1.48,0.6759999999999999,0.924
5,1011,77.664,37.132,0,129,794.072,1831.42,190.30900000000003,764,1811,67,42,61.602,20.896,155.634,0.35100000000000003,73.41,764,1823,155.879,26.833000000000002,2.948,0.33899999999999997,0.711
6,1016,75.02,30.166,7,129,2428.647,2947.687,142.024,2408,2926,37,42,40.4,32.02,98.09700000000001,0.633,46.141000000000005,2421,2928,119.899,36.599000000000004,1.262,0.7929999999999999,0.856
7,1018,99.552,25.15,0,129,2764.7470000000003,2514.972,243.80599999999998,2740,2493,61,44,45.34,28.588,169.99599999999998,0.215,61.66,2740,2524,8.392999999999999,40.935,1.5859999999999999,0.631,0.613
8,1035,124.79,3.036,117,129,38.192,1701.184,227.38,17,1653,36,93,96.626,13.638,73.991,0.252,98.031,17,1746,71.565,18.172,7.085,0.141,0.6970000000000001
9,1035,67.609,33.47,0,129,2916.925,2449.484,140.368,2901,2423,32,51,51.571000000000005,25.553,103.74,0.66,52.631,2915,2423,104.3,27.189,2.0180000000000002,0.495,0.895
10,1045,103.76700000000001,14.724,71,129,2591.922,2187.95,207.48,2580,2158,33,68,62.701,21.22,80.122,0.305,69.23100000000001,2587,2226,79.17699999999999,31.671999999999997,2.955,0.33799999999999997,0.69
11,1052,117.696,10.251,79,129,333.096,1418.996,225.27900000000002,312,1388,42,54,48.961999999999996,27.357,51.031000000000006,0.26,59.942,313,1442,62.152,34.732,1.79,0.5589999999999999,0.7
12,1058,67.274,27.33,4,129,1063.498,3208.0429999999997,139.882,1048,3184,33,47,46.585,28.916999999999998,87.06299999999999,0.679,48.104,1053,3185,110.695,29.985,1.611,0.621,0.877
13,1073,40.313,42.582,0,129,752.3989999999999,57.895,133.782,737,35,34,49,46.952,29.098000000000003,83.777,0.753,49.36600000000001,747,35,96.98100000000001,32.647,1.614,0.62,0.9229999999999999
14,1099,111.735,16.404,58,129,2537.583,2356.111,212.93599999999998,2504,2339,65,35,57.293,24.424,1.631,0.305,65.765,2504,2358,8.746,33.412,2.346,0.426,0.693
15,1118,94.964,23.432,41,129,1782.336,2431.1620000000003,252.49200000000002,1766,2399,39,61,49.119,28.98,82.645,0.22,61.294,1788,2399,95.618,38.035,1.695,0.59,0.609
16,1126,114.851,10.502,86,129,2721.9109999999996,2699.3309999999997,281.262,2686,2665,81,70,81.929,17.499000000000002,135.939,0.179,102.005,2686,2666,142.56799999999998,30.671,4.6819999999999995,0.214,0.474
17,1127,104.803,15.915999999999999,49,129,2053.996,2197.085,293.12,2033,2159,44,75,73.79,19.445999999999998,110.87799999999999,0.165,82.34700000000001,2037,2159,114.38600000000001,30.424,3.795,0.264,0.535
18,1131,58.907,32.765,0,129,1633.59,583.738,154.267,1614,564,53,41,40.787,35.306,152.627,0.597,53.6,1614,578,171.416,36.579,1.155,0.866,0.82
19,1146,93.109,30.078000000000003,0,129,2385.024,150.718,210.108,2354,123,67,46,62.494,23.348000000000003,32.510999999999996,0.326,77.524,2354,162,30.203000000000003,31.976,2.677,0.374,0.6759999999999999
20,1151,120.484,6.314,94,129,2628.086,2274.967,299.505,2602,2233,53,75,75.95100000000001,19.295,115.68700000000001,0.161,91.26299999999999,2603,2233,124.735,32.815,3.9360000000000004,0.254,0.5529999999999999
21,1152,109.72200000000001,15.932,60,129,2446.58,2349.236,259.563,2416,2318,50,65,62.196000000000005,23.583000000000002,62.175,0.215,72.67,2417,2378,55.653999999999996,32.373000000000005,2.637,0.379,0.6
22,1162,83.736,35.384,5,129,2382.371,2801.245,356.61699999999996,2354,2776,53,67,46.325,31.938000000000002,50.371,0.115,68.964,2374,2843,73.142,48.503,1.45,0.6890000000000001,0.506
23,1165,98.833,23.348000000000003,5,129,1484.219,310.806,218.794,1455,282,58,51,48.253,30.741,29.654,0.306,68.264,1455,320,31.826999999999998,44.586000000000006,1.57,0.637,0.619
24,1185,69.608,32.079,0,129,2935.224,3345.9759999999997,228.108,2916,3318,48,54,42.203,35.751,64.503,0.28600000000000003,58.83,2926,3368,58.201,43.838,1.18,0.847,0.647
25,1193,115.303,12.081,77,129,271.722,1143.881,169.338,250,1121,46,50,51.428999999999995,29.535,52.397,0.523,59.464,255,1171,47.726000000000006,35.207,1.7409999999999999,0.574,0.797
26,1194,119.2,6.268,102,129,848.306,2439.47,158.167,827,2419,44,41,45.468999999999994,33.435,44.897,0.6,47.538999999999994,827,2448,22.249000000000002,36.464,1.36,0.735,0.8959999999999999
27,1195,41.167,38.122,0,129,2762.6009999999997,1536.045,151.782,2742,1509,35,53,49.853,30.52,83.807,0.652,53.46,2763,1562,82.476,34.725,1.633,0.612,0.87
28,1197,114.637,12.669,71,129,74.589,2764.684,171.96599999999998,49,2741,51,48,42.068000000000005,36.229,168.122,0.509,54.424,49,2752,159.567,43.997,1.161,0.861,0.726
29,1202,80.28699999999999,36.043,0,129,385.49699999999996,1610.4070000000002,240.593,361,1582,50,68,66.454,23.03,69.906,0.261,83.235,362,1650,54.782,33.541,2.886,0.34700000000000003,0.589
30,1224,90.04799999999999,38.258,0,129,586.221,89.413,226.93599999999998,552,66,79,43,77.461,20.119,17.78,0.299,81.32,553,100,16.429000000000002,29.27,3.85,0.26,0.62
31,1230,114.541,15.870999999999999,24,129,1933.503,833.171,385.505,1914,748,45,155,107.305,14.595,105.809,0.10400000000000001,157.334,1926,748,99.881,28.68,7.352,0.136,0.363
32,1248,122.64299999999999,4.828,106,129,3217.752,864.28,280.04900000000004,3189,835,47,65,56.193999999999996,28.276999999999997,119.525,0.2,69.318,3201,838,116.565,38.675,1.9869999999999999,0.503,0.612
33,1261,118.515,7.376,97,129,2101.6929999999998,2259.005,280.434,2080,2227,42,62,53.788000000000004,29.85,91.814,0.201,65.146,2097,2289,72.12100000000001,41.238,1.8019999999999998,0.555,0.635
34,1262,77.411,34.123000000000005,0,129,1444.0520000000001,3414.258,293.32099999999997,1399,3383,81,61,69.847,23.005,146.16899999999998,0.184,94.66799999999999,1399,3392,148.829,43.855,3.036,0.32899999999999996,0.451
35,1265,122.821,4.438,114,129,62.614,2259.3320000000003,302.936,52,2206,24,126,107.22,15.022,89.484,0.17300000000000001,126.89,61,2206,96.789,23.37,7.138,0.14,0.518
36,1265,41.55,40.783,0,129,180.68599999999998,3113.165,171.782,164,3079,32,69,73.626,21.875999999999998,74.561,0.539,72.732,168,3148,71.565,23.188000000000002,3.366,0.297,0.9179999999999999
37,1290,85.54799999999999,37.465,0,129,2197.66,1663.225,244.049,2157,1634,87,64,90.285,18.192,147.619,0.272,106.25399999999999,2157,1636,144.964,25.22,4.963,0.201,0.722
38,1305,79.01100000000001,27.351999999999997,20,129,1367.2979999999998,2373.797,267.848,1326,2342,94,58,88.935,18.683,29.281,0.22899999999999998,101.76899999999999,1326,2381,22.533,32.519,4.76,0.21,0.583
39,1316,91.098,22.323,41,129,2409.73,2278.3,280.04900000000004,2386,2231,55,79,66.297,25.274,126.786,0.21100000000000002,88.193,2386,2231,119.181,36.77,2.623,0.381,0.595
40,1324,119.368,7.892,85,129,1594.9189999999999,2498.386,290.291,1562,2478,61,55,48.452,34.792,166.84099999999998,0.19699999999999998,64.9,1568,2479,123.69,49.556999999999995,1.393,0.718,0.5660000000000001
41,1326,114.15299999999999,10.449000000000002,81,129,2638.0879999999997,2087.779,322.233,2606,2063,61,59,45.898999999999994,36.783,31.721999999999998,0.16,67.417,2622,2122,57.724,49.948,1.248,0.8009999999999999,0.541
42,1335,47.225,41.768,0,129,1031.633,841.087,221.48,1014,807,42,66,54.245,31.335,79.237,0.342,68.352,1032,873,69.444,34.606,1.7309999999999999,0.578,0.6859999999999999
43,1338,100.62899999999999,26.451999999999998,27,129,2504.067,2382.492,319.747,2451,2362,102,37,83.65299999999999,20.365,171.19400000000002,0.16399999999999998,102.59100000000001,2451,2375,173.845,36.816,4.1080000000000005,0.243,0.503
44,1350,50.063,41.543,0,129,1077.103,629.504,233.27900000000002,1054,585,49,80,81.902,20.987,116.03299999999999,0.312,85.235,1068,585,112.051,30.119,3.903,0.256,0.619
45,1353,110.344,12.548,77,129,2169.843,2266.246,328.676,2134,2237,67,57,46.875,36.75,151.67700000000002,0.157,71.512,2134,2269,159.53799999999998,50.614,1.276,0.784,0.59
46,1358,124.365,3.387,113,129,3320.41,2009.951,326.492,3247,1988,138,45,150.457,11.492,14.787,0.16,143.136,3247,2028,15.395999999999999,17.789,13.092,0.076,0.637
47,1363,119.60799999999999,7.695,99,129,1370.256,1994.024,336.81800000000004,1326,1961,81,62,52.391000000000005,33.124,25.079,0.151,81.615,1326,2003,172.96200000000002,56.922,1.5819999999999999,0.632,0.429
48,1366,62.111000000000004,50.218999999999994,0,129,3032.353,131.731,403.30400000000003,2952,98,107,67,53.559,32.473,4.115,0.106,110.725,2952,139,16.798,64.887,1.649,0.606,0.321
49,1368,85.744,33.145,0,129,1057.187,160.447,188.06599999999997,1036,132,43,61,63.95399999999999,27.235,110.176,0.486,65.0,1040,133,112.62,34.958,2.3480000000000003,0.426,0.765
50,1407,99.26700000000001,18.563,48,129,3396.435,664.2539999999999,304.91900000000004,3353,629,80,64,74.101,24.176,32.628,0.19,97.949,3353,692,40.03,40.966,3.065,0.326,0.532
51,1413,79.306,34.037,0,129,86.69200000000001,3204.95,334.475,42,3161,77,98,85.15,21.128,120.27600000000001,0.159,123.406,42,3161,127.427,37.474000000000004,4.03,0.248,0.496
52,1416,84.448,31.921999999999997,0,129,1847.685,603.148,300.877,1828,556,44,80,63.425,28.426,68.50399999999999,0.19699999999999998,86.925,1829,636,66.975,40.696,2.231,0.44799999999999995,0.611
53,1421,95.243,23.141,33,129,2443.499,2218.61,292.57599999999996,2422,2174,50,87,57.245,31.605999999999998,94.598,0.209,88.28399999999999,2423,2261,80.218,48.504,1.811,0.552,0.557
54,1443,122.43700000000001,6.093999999999999,91,129,183.62400000000002,988.174,471.671,144,938,89,97,68.57,26.794,127.45700000000001,0.08199999999999999,120.0,158,938,126.87,63.355,2.559,0.391,0.304
55,1448,96.46799999999999,28.146,0,129,1939.271,1144.619,451.20300000000003,1914,1064,43,170,118.285,15.587,95.538,0.08900000000000001,175.111,1914,1064,103.87799999999999,30.488000000000003,7.5889999999999995,0.132,0.331
56,1450,63.483999999999995,34.875,0,129,2500.323,97.86,193.137,2470,75,66,52,68.682,26.88,33.405,0.488,71.694,2470,107,22.989,33.888000000000005,2.555,0.391,0.83
57,1453,109.869,18.331,38,129,1438.481,1994.735,296.149,1408,1955,61,69,68.486,27.013,121.995,0.20800000000000002,78.518,1408,1960,133.452,44.7,2.535,0.39399999999999996,0.5529999999999999
58,1460,59.812,39.037,0,129,1819.6860000000001,3181.672,239.22,1795,3138,47,78,82.55,22.519000000000002,115.441,0.321,87.20700000000001,1796,3138,116.565,27.311999999999998,3.6660000000000004,0.273,0.8140000000000001
59,1461,106.15299999999999,17.785999999999998,57,129,3338.1820000000002,625.164,296.09,3310,593,54,60,53.498999999999995,34.771,60.508,0.209,72.25,3310,648,41.63399999999999,44.931000000000004,1.5390000000000001,0.65,0.632
60,1474,61.2,46.71,0,129,1779.906,1525.6270000000002,266.593,1748,1495,77,55,74.475,25.2,151.16299999999998,0.261,89.87200000000001,1750,1496,145.42600000000002,35.85,2.955,0.33799999999999997,0.652
61,1513,51.141999999999996,47.483000000000004,0,129,51.965,3133.7470000000003,276.492,13,3101,91,55,75.704,25.447,155.514,0.249,101.079,13,3103,154.195,39.32,2.975,0.336,0.534
62,1516,102.559,21.840999999999998,18,129,364.99300000000005,2906.995,245.078,326,2882,80,52,72.03699999999999,26.795,156.535,0.317,82.97,326,2886,164.62400000000002,34.699,2.688,0.37200000000000005,0.6859999999999999
63,1518,114.681,11.394,68,129,2392.032,2331.808,326.617,2361,2286,65,83,74.669,25.885,128.753,0.179,93.744,2371,2286,123.69,39.723,2.885,0.34700000000000003,0.536
64,1544,106.33200000000001,19.624000000000002,52,129,2781.573,2845.6279999999997,419.144,2750,2815,70,77,55.117,35.668,117.706,0.11,82.662,2752,2815,145.349,58.818000000000005,1.545,0.647,0.461
65,1550,111.039,15.579,65,129,575.033,1276.194,166.953,553,1254,48,50,53.574,36.836999999999996,43.565,0.6990000000000001,62.482,559,1302,50.193999999999996,41.245,1.454,0.688,0.856
66,1563,112.271,12.421,69,129,1033.339,900.419,295.262,1009,860,55,75,61.953,32.122,58.157,0.225,79.404,1017,928,58.912,43.832,1.929,0.518,0.615
67,1586,64.738,37.724000000000004,0,129,2501.138,3178.765,249.421,2471,3150,72,55,77.218,26.151,32.474000000000004,0.32,87.20100000000001,2472,3202,36.607,32.93,2.9530000000000003,0.33899999999999997,0.763
68,1617,107.024,17.028,53,129,2585.384,3134.009,421.144,2546,3107,96,60,65.155,31.599,1.8719999999999999,0.115,99.20200000000001,2546,3119,165.403,52.676,2.062,0.485,0.406
69,1621,102.495,20.324,36,129,2602.0570000000002,2628.083,299.46299999999997,2549,2607,109,44,93.059,22.179000000000002,11.413,0.22699999999999998,111.4,2549,2644,11.915,38.797,4.196000000000001,0.23800000000000002,0.546
70,1645,110.09299999999999,13.833,69,129,2582.377,252.627,300.25,2530,233,100,49,92.85600000000001,22.555999999999997,161.517,0.22899999999999998,101.789,2530,236,169.24200000000002,39.242,4.117,0.243,0.613
71,1656,115.906,11.34,74,129,862.5880000000001,738.7139999999999,316.777,838,694,53,84,64.998,32.439,115.949,0.207,90.62,843,694,112.036,50.833,2.004,0.499,0.5710000000000001
72,1661,37.126,40.343,0,129,3231.9359999999997,73.154,292.534,3199,35,75,80,103.16799999999999,20.499000000000002,130.86,0.244,104.139,3204,35,131.496,33.198,5.033,0.19899999999999998,0.627
73,1677,89.721,23.73,31,129,2286.726,2024.098,371.789,2230,2003,102,56,87.348,24.445,156.262,0.152,114.039,2230,2005,153.435,39.129,3.573,0.28,0.603
74,1687,94.505,23.364,0,129,1460.961,2842.973,231.078,1439,2817,53,66,57.521,37.342,62.119,0.397,71.84,1444,2883,51.216,47.051,1.54,0.649,0.774
75,1688,36.281,42.226000000000006,0,129,3244.863,1224.381,340.81800000000004,3215,1173,64,92,95.89299999999999,22.413,123.025,0.183,102.396,3220,1175,121.82700000000001,41.821999999999996,4.279,0.23399999999999999,0.518
76,1718,86.044,30.343000000000004,4,129,1872.5870000000002,2375.803,535.495,1790,2301,168,144,163.749,13.357999999999999,136.511,0.075,219.97299999999998,1790,2301,139.79399999999998,30.726,12.258,0.08199999999999999,0.33899999999999997
77,1721,110.99,16.104,50,129,421.855,2273.0789999999997,544.943,351,2243,125,84,73.225,29.925,167.88,0.073,125.256,351,2274,3.662,79.357,2.447,0.409,0.27899999999999997
78,1724,114.42299999999999,10.684000000000001,85,129,2675.776,2468.6,252.108,2643,2432,55,74,65.065,33.736,62.481,0.341,76.158,2673,2506,76.329,48.157,1.929,0.518,0.6859999999999999
79,1776,121.484,7.321000000000001,96,129,445.709,2063.511,342.676,383,2022,105,68,68.593,32.967,25.203000000000003,0.19,105.385,383,2063,4.899,61.005,2.081,0.48100000000000004,0.391
80,1783,105.041,16.896,58,129,1443.033,1480.0510000000002,351.04400000000004,1401,1428,81,100,111.221,20.410999999999998,128.76,0.182,122.64200000000001,1410,1428,125.375,26.326,5.449,0.184,0.649
81,1789,82.646,34.371,13,129,1177.0919999999999,1945.399,411.404,1091,1902,127,94,84.49,26.96,135.379,0.133,157.41,1091,1902,143.785,49.663000000000004,3.134,0.319,0.353
82,1795,119.48200000000001,7.781000000000001,84,129,2129.277,2321.1639999999998,451.32800000000003,2086,2284,79,72,56.778,40.251999999999995,8.248,0.111,80.66,2092,2343,47.01,62.258,1.411,0.7090000000000001,0.491
83,1798,109.34899999999999,12.285,77,129,2660.7929999999997,2358.7270000000003,290.978,2628,2314,60,102,109.928,20.825,112.68299999999999,0.267,114.61200000000001,2632,2316,119.249,30.255,5.279,0.18899999999999997,0.679
84,1813,87.399,24.899,32,129,936.512,527.5880000000001,216.35,907,494,58,72,79.483,29.041999999999998,47.015,0.48700000000000004,84.876,909,566,55.56100000000001,37.156,2.737,0.365,0.778
85,1815,61.867,39.647,0,129,3376.692,1184.3139999999999,320.978,3328,1158,76,55,62.54600000000001,36.948,171.435,0.221,79.812,3340,1159,142.125,51.263000000000005,1.693,0.591,0.5870000000000001
86,1847,46.347,40.382,0,129,3071.438,591.241,249.765,3033,571,73,44,69.328,33.921,174.263,0.37200000000000005,73.546,3033,599,11.767999999999999,42.583999999999996,2.044,0.489,0.722
87,1856,60.961999999999996,40.389,0,129,475.42900000000003,1087.032,267.522,457,1032,38,103,88.29799999999999,26.763,105.238,0.326,105.119,464,1032,101.524,35.163000000000004,3.299,0.303,0.742
88,1857,50.696999999999996,44.559,0,129,754.221,360.704,259.22,713,338,78,46,71.55,33.046,10.042,0.34700000000000003,79.831,713,376,12.295,44.248999999999995,2.165,0.462,0.665
89,1865,115.98,8.577,91,129,1511.102,2513.647,275.17900000000003,1458,2492,101,43,91.34899999999999,25.995,11.394,0.309,104.54700000000001,1458,2519,14.967,34.359,3.514,0.285,0.705
90,1910,69.59,31.432,4,129,981.3389999999999,1654.805,259.421,953,1610,47,89,81.916,29.688000000000002,76.483,0.35700000000000004,92.179,971,1699,74.908,39.813,2.759,0.36200000000000004,0.691
91,1910,95.26,24.844,21,129,204.13,556.479,317.46299999999997,145,533,120,45,107.51700000000001,22.619,169.896,0.23800000000000002,122.376,145,540,168.69,33.398,4.754,0.21,0.5710000000000001
92,1932,69.55,27.234,15,129,2879.7929999999997,3378.452,229.865,2846,3351,70,57,76.737,32.056,33.785,0.45899999999999996,81.056,2847,3403,38.991,42.635,2.394,0.418,0.73
93,1934,107.449,15.584000000000001,51,129,2657.8379999999997,3084.571,475.772,2628,3013,46,124,99.26,24.808000000000003,82.209,0.107,125.766,2645,3137,80.388,40.007,4.001,0.25,0.48100000000000004
94,1952,88.302,30.781999999999996,0,129,549.415,728.24,283.421,516,699,84,54,71.435,34.792,174.54,0.305,86.12200000000001,516,748,12.745,52.019,2.053,0.48700000000000004,0.649
95,1966,78.975,28.33,12,129,800.579,2392.754,323.848,758,2348,67,83,74.957,33.395,66.132,0.23600000000000002,85.376,795,2431,76.452,55.443000000000005,2.245,0.446,0.586
96,1980,109.375,14.530999999999999,64,129,2529.185,2695.993,393.647,2494,2654,118,66,78.46600000000001,32.129,161.892,0.161,123.081,2494,2670,163.47899999999998,64.399,2.4419999999999997,0.409,0.4
97,2001,82.98,31.302,0,129,1381.8729999999998,1746.671,354.534,1346,1701,60,89,76.873,33.141999999999996,111.493,0.2,98.81299999999999,1346,1709,125.94200000000001,45.428999999999995,2.319,0.431,0.6629999999999999
98,2002,116.984,8.328,86,129,2024.2089999999998,124.686,435.186,1992,57,89,126,112.568,22.644000000000002,127.87899999999999,0.133,154.263,1992,57,125.235,33.86,4.971,0.201,0.539
99,2019,79.24,33.486999999999995,0,129,2420.784,3117.095,385.44599999999997,2378,3073,107,83,88.273,29.122,139.219,0.171,119.206,2394,3077,139.764,53.106,3.031,0.33,0.456
100,2043,120.251,6.112,104,129,2617.075,2666.987,511.914,2542,2629,138,62,99.906,26.037,16.55,0.098,142.874,2542,2677,15.009,45.33,3.8369999999999997,0.261,0.40399999999999997
101,2052,59.93600000000001,38.53,0,129,542.048,2725.8340000000003,433.38699999999994,490,2671,96,88,71.531,36.525,39.153,0.13699999999999998,99.20200000000001,490,2742,14.597000000000001,69.875,1.9580000000000002,0.511,0.428
102,2053,34.56,40.949,0,129,2602.867,1578.411,334.09,2567,1538,64,90,93.917,27.833000000000002,119.87799999999999,0.231,101.35600000000001,2571,1540,120.867,43.566,3.3739999999999997,0.29600000000000004,0.594
103,2056,61.678000000000004,33.9,0,129,792.1,2535.237,280.04900000000004,751,2495,69,77,80.952,32.336999999999996,53.373999999999995,0.32899999999999996,84.22,769,2570,60.086000000000006,45.89,2.503,0.39899999999999997,0.643
104,2057,66.904,31.750999999999998,0,129,942.552,1681.511,280.392,916,1639,47,86,87.512,29.928,85.395,0.32899999999999996,86.28399999999999,934,1725,85.34700000000001,47.0,2.924,0.342,0.654
105,2069,79.597,28.177,0,129,3016.9509999999996,531.8330000000001,321.848,2979,501,79,54,73.757,35.716,175.924,0.251,79.22800000000001,2979,521,175.657,49.358000000000004,2.065,0.484,0.6629999999999999
106,2070,64.641,36.686,0,129,2969.8779999999997,2284.24,387.789,2925,2254,94,79,75.437,34.938,6.617999999999999,0.17300000000000001,95.90100000000001,2925,2274,168.57299999999998,62.074,2.1590000000000003,0.46299999999999997,0.44
107,2081,79.513,25.78,14,129,2494.9179999999997,256.61400000000003,174.51,2468,230,54,52,56.526,46.873999999999995,139.239,0.8590000000000001,60.44,2472,238,141.04399999999998,47.982,1.206,0.8290000000000001,0.94
108,2092,56.565,33.032,0,129,587.448,939.763,214.894,561,908,62,64,67.92399999999999,39.215,52.104,0.569,77.233,565,962,41.326,46.535,1.732,0.5770000000000001,0.79
109,2098,85.90299999999999,22.861,35,129,1923.339,2483.4339999999997,362.61699999999996,1877,2456,97,60,98.838,27.026999999999997,24.061,0.201,109.179,1878,2515,28.443,43.498000000000005,3.657,0.273,0.58
110,2132,54.04,37.29,0,129,3212.776,3058.467,419.245,3176,3016,79,85,74.389,36.491,39.614000000000004,0.152,99.086,3184,3089,47.45399999999999,73.565,2.039,0.491,0.455
111,2163,94.947,21.25,22,129,2544.724,2153.74,283.32099999999997,2523,2098,44,94,84.62700000000001,32.543,103.35700000000001,0.33899999999999997,94.831,2541,2098,104.036,40.042,2.6,0.385,0.701
112,2165,105.165,15.355,53,129,2160.353,2185.195,360.81800000000004,2111,2160,102,49,91.005,30.29,169.858,0.209,107.912,2112,2165,159.382,46.185,3.0039999999999996,0.33299999999999996,0.635
