i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1172,8.329,26.647,0,134,529.47,1714.57,152.711,513,1689,32,55,50.236999999999995,29.704,77.527,0.632,55.326,526,1689,96.226,30.316999999999997,1.6909999999999998,0.591,0.88
2,1243,85.552,32.617,6,134,276.344,1440.424,505.588,231,1333,84,218,209.07299999999998,7.57,110.728,0.061,232.912,232,1333,110.61399999999999,11.636,27.62,0.036000000000000004,0.5579999999999999
3,1260,67.222,48.071999999999996,0,134,1154.103,2064.459,243.463,1123,2034,59,60,65.008,24.678,132.577,0.267,70.178,1128,2034,122.78399999999999,35.2,2.634,0.38,0.682
4,1358,80.39699999999999,41.667,0,134,581.692,2129.774,340.191,526,2114,110,42,89.182,19.387999999999998,15.257,0.147,116.37899999999999,526,2155,19.058,33.103,4.6,0.217,0.523
5,1444,73.918,42.111000000000004,0,134,2126.907,1742.1429999999998,589.411,2060,1663,148,154,111.20200000000001,16.534000000000002,46.051,0.052000000000000005,211.521,2062,1817,46.724,39.891,6.726,0.149,0.23399999999999999
6,1457,123.461,6.3629999999999995,103,134,2372.811,2791.225,616.534,2358,2691,26,234,190.425,9.742,93.86399999999999,0.048,235.128,2359,2691,95.61399999999999,18.572,19.547,0.051,0.446
7,1463,112.366,20.82,36,134,403.82300000000004,2139.212,441.103,366,2103,100,76,47.953,38.846,39.39,0.094,103.74,367,2141,17.387,74.821,1.234,0.81,0.281
8,1605,33.644,46.655,0,134,2850.248,2571.355,347.74699999999996,2809,2544,69,58,49.998999999999995,40.872,10.562000000000001,0.16699999999999998,72.732,2809,2591,18.435,53.147,1.2229999999999999,0.8170000000000001,0.561
9,1748,16.579,35.596,0,134,1751.724,2500.909,341.522,1722,2438,48,136,110.77600000000001,20.090999999999998,75.961,0.188,140.186,1726,2574,75.964,32.689,5.513999999999999,0.18100000000000002,0.5529999999999999
10,2050,22.57,39.51,0,134,623.864,144.506,308.09,585,97,74,93,86.34,30.230999999999998,44.989,0.271,105.589,586,190,61.736000000000004,43.753,2.8560000000000003,0.35,0.602
11,2099,46.55,47.826,0,134,640.587,70.508,600.7669999999999,598,36,76,81,54.534,49.007,170.493,0.073,85.235,631,38,112.051,71.217,1.113,0.899,0.47200000000000003
12,2466,45.965,45.968,0,134,2623.458,2503.376,245.137,2601,2455,41,98,91.37799999999999,34.361,79.607,0.516,101.92200000000001,2611,2553,74.055,40.384,2.659,0.376,0.8440000000000001
13,4645,46.907,45.88399999999999,0,134,532.702,2170.381,720.365,447,2130,207,105,145.67600000000002,40.598,163.759,0.11199999999999999,217.61,449,2160,160.399,64.92699999999999,3.588,0.27899999999999997,0.418
14,5642,121.94200000000001,10.636,0,134,112.11,136.921,857.502,46,86,126,103,102.694,69.952,158.96,0.096,133.14700000000002,53,103,147.265,92.537,1.4680000000000002,0.6809999999999999,0.574
15,6129,52.38,51.64,0,134,201.167,1767.141,1182.881,158,1623,96,253,174.36900000000003,44.754,77.328,0.055,263.32099999999997,169,1876,73.905,86.512,3.8960000000000004,0.257,0.349
16,10029,125.90899999999999,8.567,9,134,2351.0429999999997,2723.8320000000003,3183.555,2311,2257,62,865,499.874,25.545,90.77600000000001,0.012,865.0830000000001,2347,2257,90.795,59.793,19.567999999999998,0.051,0.303
17,12225,29.473000000000003,44.771,0,134,2783.841,2763.3459999999995,1367.859,2720,2650,127,275,186.14700000000002,83.619,101.77600000000001,0.08199999999999999,291.784,2743,2652,110.671,118.07,2.226,0.449,0.518
18,16524,19.301,35.949,0,134,2422.627,3211.472,1513.415,2230,3131,351,163,249.919,84.18299999999999,14.607999999999999,0.091,372.533,2230,3291,23.744,145.696,2.969,0.337,0.43799999999999994
19,23099,40.751999999999995,45.58,0,134,1505.81,267.72,3163.559,1413,96,278,389,212.74,138.247,95.205,0.028999999999999998,389.80300000000005,1449,485,86.323,277.101,1.5390000000000001,0.65,0.345
20,31455,42.965,44.501000000000005,0,134,1821.009,2393.513,3027.115,1665,2255,350,332,218.804,183.03900000000002,31.29,0.043,429.70300000000003,1675,2583,47.735,318.51099999999997,1.195,0.8370000000000001,0.32799999999999996
