i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1009,35.036,41.138000000000005,0,121,1720.299,1783.9470000000001,219.037,1694,1766,58,38,55.103,23.315,12.952,0.264,58.693999999999996,1694,1785,8.82,32.529,2.363,0.423,0.6409999999999999
2,1024,15.129000000000001,31.728,0,121,3037.44,2773.855,221.72299999999998,3008,2757,69,36,59.111000000000004,22.057,177.108,0.262,69.721,3008,2776,8.246,35.071999999999996,2.68,0.373,0.604
3,1026,87.08200000000001,20.651,28,121,937.0189999999999,128.475,291.421,917,74,34,86,57.54600000000001,22.701,82.94200000000001,0.152,86.09299999999999,936,74,92.663,33.519,2.535,0.39399999999999996,0.526
4,1050,108.68799999999999,8.655,62,121,1253.461,787.441,205.82299999999998,1233,752,36,69,67.128,19.916,102.367,0.311,69.584,1245,752,97.431,29.709,3.3710000000000004,0.297,0.65
5,1136,102.985,12.127,57,121,117.344,3242.8940000000002,254.392,92,3203,46,89,83.273,17.369,118.79700000000001,0.221,97.57600000000001,98,3203,114.20100000000001,21.229,4.794,0.209,0.7490000000000001
6,1182,103.985,12.065,36,121,39.893,3109.335,293.605,8,3073,60,76,78.64699999999999,19.136,118.876,0.172,90.973,18,3073,123.34100000000001,28.973000000000003,4.11,0.243,0.621
7,1313,108.12,10.718,72,121,1253.472,962.1560000000001,423.144,1219,935,71,54,54.568000000000005,30.636999999999997,12.005999999999998,0.092,82.152,1220,985,31.561999999999998,53.148999999999994,1.781,0.561,0.423
8,1357,78.556,32.522,0,121,976.2189999999999,194.08700000000002,363.20300000000003,936,156,65,89,74.10600000000001,23.315,122.62899999999999,0.129,102.005,937,164,127.432,37.168,3.178,0.315,0.528
9,1436,103.713,12.789000000000001,67,121,164.044,3295.24,398.316,138,3240,50,110,71.827,25.455,112.057,0.114,118.10600000000001,138,3240,111.351,33.405,2.822,0.354,0.588
10,1554,106.4,12.587,45,121,3310.708,62.693999999999996,282.877,3280,32,65,75,84.625,23.381,129.792,0.244,89.811,3281,36,127.76299999999999,32.423,3.6189999999999998,0.276,0.645
11,1638,105.994,9.56,71,121,121.171,3121.711,319.605,102,3078,41,88,76.13600000000001,27.393,93.788,0.20199999999999999,88.459,114,3166,84.161,37.016999999999996,2.779,0.36,0.621
12,1647,102.62899999999999,13.046,56,121,905.373,66.332,276.45099999999996,889,9,28,112,103.366,20.287,92.32700000000001,0.271,112.539,892,9,95.609,25.125,5.095,0.196,0.7559999999999999
13,1806,103.45100000000001,16.936,38,121,262.936,3243.781,348.902,232,3197,66,88,72.425,31.75,118.462,0.18600000000000003,89.73899999999999,242,3197,104.191,52.854,2.281,0.43799999999999994,0.581
14,2019,45.24100000000001,42.15,0,121,2460.278,845.1010000000001,686.34,2379,805,133,111,57.332,44.838,3.363,0.054000000000000006,133.454,2379,842,4.728,96.294,1.2790000000000001,0.782,0.256
15,2032,100.055,12.925999999999998,58,121,191.769,3099.5409999999997,352.86,166,3058,47,90,84.163,30.741,93.066,0.205,92.65,178,3148,76.264,46.806999999999995,2.738,0.365,0.621
16,3135,25.666,37.68,0,121,2942.6409999999996,2857.7329999999997,679.453,2873,2790,112,159,79.653,50.111999999999995,68.509,0.085,159.201,2954,2949,87.12,100.016,1.589,0.629,0.337
17,3143,27.46,39.469,0,121,1748.558,2320.445,1310.9470000000001,1504,2254,484,147,120.319,33.26,176.702,0.023,486.57599999999996,1504,2400,5.898,142.509,3.6180000000000003,0.276,0.068
18,3865,27.729,39.216,0,121,1982.213,1758.9979999999998,1251.107,1897,1689,168,160,79.315,62.044,10.251,0.031,171.02,1897,1730,169.21599999999998,132.936,1.278,0.782,0.248
19,3956,9.533,26.015,0,121,2275.3289999999997,635.016,536.784,2218,583,104,104,109.51899999999999,45.99100000000001,60.276,0.17300000000000001,132.439,2218,666,38.254,73.218,2.381,0.42,0.547
20,5766,27.131,39.233000000000004,0,121,2665.8909999999996,1797.379,1075.661,2586,1670,173,193,113.3,64.797,116.01700000000001,0.063,205.548,2639,1670,122.685,146.6,1.749,0.5720000000000001,0.304
21,5965,40.07,42.64,0,121,1667.494,3185.663,703.186,1640,3101,55,163,166.275,45.677,95.596,0.152,163.441,1662,3101,94.21,51.229,3.64,0.275,0.804
22,6599,24.625999999999998,38.757,0,121,2770.598,829.337,1375.835,2660,732,183,238,109.601,76.661,71.03699999999999,0.044000000000000004,251.114,2721,970,70.699,156.526,1.43,0.6990000000000001,0.266
