i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1054,122.008,2.5669999999999997,115,125,3241.795,2623.647,224.735,3210,2591,56,74,71.154,18.861,127.855,0.262,87.664,3215,2591,122.421,25.954,3.773,0.265,0.616
2,1056,68.721,44.218999999999994,0,125,1865.121,763.5010000000001,185.924,1844,735,35,52,51.115,26.304000000000002,85.463,0.384,54.708,1859,735,108.104,35.0,1.943,0.515,0.745
3,1065,99.632,33.284,0,125,1938.68,2784.4759999999997,170.65200000000002,1918,2760,37,48,47.545,28.52,68.036,0.46,53.535,1919,2807,57.2,35.89,1.6669999999999998,0.6,0.7659999999999999
4,1083,122.554,2.502,114,125,1158.421,384.66900000000004,200.208,1132,362,52,49,38.292,36.01,153.597,0.34,56.43600000000001,1134,374,150.255,47.347,1.063,0.94,0.541
5,1090,105.914,15.44,49,125,1296.7169999999999,574.23,282.635,1263,552,67,63,41.03,33.825,69.197,0.171,75.717,1288,615,56.31,48.29,1.213,0.8240000000000001,0.439
6,1093,123.00299999999999,1.844,116,125,1137.075,2464.762,287.362,1109,2443,77,58,49.472,28.13,21.631,0.166,77.233,1109,2482,4.456,49.979,1.7590000000000001,0.569,0.375
7,1107,119.792,3.6010000000000004,106,125,368.599,954.382,234.551,349,920,33,81,71.479,19.719,89.699,0.253,82.37700000000001,349,920,100.491,31.519000000000002,3.625,0.276,0.596
8,1115,33.065,41.48,0,125,1843.274,2431.0429999999997,183.52200000000002,1813,2402,59,59,76.237,18.622,136.594,0.41600000000000004,80.66,1815,2402,132.99,21.92,4.093999999999999,0.244,0.843
9,1118,91.35700000000001,28.533,23,125,2934.13,3262.225,175.238,2921,3227,30,66,61.708,23.068,92.178,0.45799999999999996,66.91,2925,3227,99.462,29.928,2.675,0.374,0.752
10,1164,76.561,50.131,0,125,615.735,2270.357,209.622,590,2248,52,46,51.753,28.636999999999997,134.57,0.33299999999999996,57.271,590,2262,155.225,35.005,1.807,0.5529999999999999,0.75
11,1183,123.456,1.713,114,125,1440.986,312.52,234.392,1412,288,54,51,39.705,37.936,108.899,0.271,60.745,1426,288,122.905,50.958999999999996,1.047,0.955,0.524
12,1209,120.057,7.2989999999999995,84,125,2270.1929999999998,2924.3979999999997,204.794,2249,2893,45,65,53.118,28.98,103.34,0.36200000000000004,65.27600000000001,2256,2893,95.274,41.635,1.8330000000000002,0.546,0.623
13,1210,97.568,19.747,49,125,929.4760000000001,1834.888,172.894,904,1816,51,39,45.441,33.904,16.023,0.509,52.173,904,1847,12.171,37.547,1.34,0.746,0.8220000000000001
14,1221,48.13,39.134,0,125,637.219,855.9,136.468,615,837,45,37,43.318999999999996,35.888000000000005,170.87599999999998,0.8240000000000001,46.84,615,851,163.887,36.674,1.207,0.828,0.925
15,1240,105.99600000000001,12.834000000000001,67,125,2547.774,3310.425,216.208,2518,3291,67,36,63.065,25.035,4.38,0.33299999999999996,69.376,2518,3321,15.038,36.0,2.519,0.397,0.655
16,1266,89.01700000000001,18.339000000000002,56,125,1146.24,3252.225,180.894,1115,3230,61,44,68.65899999999999,23.476999999999997,32.924,0.486,69.116,1115,3269,31.39,30.285999999999998,2.924,0.342,0.7829999999999999
17,1283,110.74700000000001,13.259,52,125,259.547,1695.307,175.82299999999998,246,1668,31,61,61.354,26.625,83.976,0.522,62.169,251,1668,101.12899999999999,31.0,2.3040000000000003,0.434,0.828
18,1304,77.018,35.713,0,125,3171.637,1819.631,224.593,3142,1782,49,61,54.63,30.392,60.96,0.325,65.795,3143,1842,65.77199999999999,37.716,1.797,0.556,0.6940000000000001
19,1312,120.78299999999999,12.432,2,125,2775.775,819.7769999999999,329.30400000000003,2751,785,71,68,54.174,30.835,142.055,0.152,83.439,2763,785,135.0,45.568999999999996,1.757,0.569,0.486
20,1316,78.837,31.733,0,125,1052.947,1780.609,162.752,1029,1760,51,44,44.74100000000001,37.45,154.964,0.624,51.623999999999995,1029,1772,171.085,40.363,1.195,0.8370000000000001,0.8270000000000001
21,1338,122.82,2.491,110,125,703.283,1593.1129999999998,432.55800000000005,668,1557,66,68,52.7,32.326,129.257,0.09,77.414,689,1557,118.551,48.288999999999994,1.63,0.613,0.489
22,1339,114.59899999999999,16.594,0,125,1254.913,1319.835,344.676,1237,1285,31,91,74.817,22.787,96.10600000000001,0.142,91.92399999999999,1244,1285,98.13,29.179000000000002,3.283,0.305,0.68
23,1353,116.70700000000001,6.48,100,125,596.013,2732.612,207.38,560,2700,63,62,75.214,22.904,37.547,0.395,87.0,560,2761,43.603,28.729,3.284,0.305,0.7829999999999999
24,1364,116.095,12.462,61,125,2228.203,2934.3590000000004,283.563,2199,2902,55,61,54.68899999999999,31.756,125.64200000000001,0.213,67.209,2205,2911,136.809,43.086000000000006,1.722,0.581,0.61
25,1368,104.521,17.875,52,125,2490.1910000000003,3254.1820000000002,255.179,2462,3222,54,59,54.038000000000004,32.232,122.84100000000001,0.264,70.0,2464,3223,126.87,44.857,1.6769999999999998,0.596,0.62
26,1374,91.025,18.999000000000002,37,125,456.32300000000004,185.06,208.65200000000002,435,163,43,52,49.162,35.585,77.992,0.397,54.781000000000006,450,215,68.587,42.123000000000005,1.382,0.7240000000000001,0.8140000000000001
27,1406,118.245,12.485999999999999,41,125,3305.446,2436.533,386.13199999999995,3266,2407,71,57,49.016999999999996,36.522,40.687,0.11900000000000001,74.632,3266,2453,17.949,54.023,1.3419999999999999,0.745,0.483
28,1412,54.722,40.387,0,125,3132.377,1810.902,201.865,3110,1782,50,50,43.528999999999996,41.302,176.255,0.435,61.717,3118,1829,49.6,45.553999999999995,1.054,0.9490000000000001,0.727
29,1414,119.995,3.765,108,125,1252.185,1744.19,250.149,1214,1723,78,54,65.46,27.503,160.543,0.284,83.259,1214,1738,155.898,43.481,2.38,0.42,0.511
30,1431,80.311,33.298,3,125,1785.164,3217.691,174.51,1761,3190,51,48,47.133,38.656,122.49,0.59,58.79600000000001,1772,3194,131.553,45.092,1.219,0.82,0.845
31,1461,83.071,30.980999999999998,0,125,308.608,2545.532,199.622,287,2517,43,55,51.964,35.798,80.62899999999999,0.461,56.294,302,2517,102.30799999999999,38.86,1.452,0.6890000000000001,0.8440000000000001
32,1464,114.721,7.649,88,125,484.824,3226.87,202.93599999999998,443,3208,76,37,69.955,26.646,10.254000000000001,0.447,77.46600000000001,443,3241,11.165,33.286,2.625,0.381,0.7859999999999999
33,1486,19.61,34.578,0,125,460.902,1260.754,172.51,442,1228,39,62,61.742,30.644000000000002,114.605,0.627,62.801,453,1228,99.162,33.988,2.015,0.496,0.893
34,1511,78.47800000000001,39.529,0,125,2674.2209999999995,2988.342,170.40900000000002,2646,2964,52,50,58.54600000000001,32.86,47.79600000000001,0.654,62.426,2646,3004,35.218,35.115,1.7819999999999998,0.561,0.8859999999999999
35,1511,120.355,3.3939999999999997,109,125,455.879,287.867,377.505,427,217,43,141,105.956,18.157,80.445,0.133,143.028,429,358,80.34,30.587,5.835,0.171,0.44799999999999995
36,1512,108.676,13.216,73,125,555.935,3210.673,260.836,532,3174,53,71,62.833,30.639,84.818,0.27899999999999997,75.273,546,3245,70.602,48.887,2.051,0.488,0.546
37,1526,115.36399999999999,6.2620000000000005,98,125,3047.8070000000002,463.71,408.233,3014,370,68,167,136.641,14.22,75.569,0.115,179.011,3015,536,68.02,23.974,9.609,0.10400000000000001,0.447
38,1534,121.59899999999999,2.449,115,125,1871.138,728.6110000000001,294.676,1828,705,79,60,63.03,30.988000000000003,161.332,0.222,84.581,1828,729,155.556,50.425,2.0340000000000003,0.49200000000000005,0.465
39,1554,83.48899999999999,29.634,26,125,2061.429,3314.357,174.85299999999998,2029,3300,69,33,67.318,29.392,2.69,0.639,69.721,2029,3308,171.75400000000002,32.758,2.29,0.43700000000000006,0.9079999999999999
40,1568,111.288,22.456,0,125,3184.298,2904.866,302.534,3140,2881,89,46,56.202,35.523,3.4210000000000003,0.215,89.359,3140,2897,174.864,46.0,1.5819999999999999,0.632,0.607
41,1577,93.803,39.57,0,125,1072.215,2151.467,372.61699999999996,1041,2124,69,63,58.325,34.426,143.441,0.14300000000000002,73.539,1041,2138,157.62,46.474,1.694,0.59,0.5670000000000001
42,1581,28.369,43.927,0,125,579.153,1500.33,249.321,560,1453,38,89,85.478,23.55,73.259,0.32,92.179,570,1542,74.908,29.978,3.63,0.276,0.755
43,1582,74.661,31.519000000000002,21,125,1984.1779999999999,3371.3959999999997,173.581,1947,3352,70,37,62.356,32.303000000000004,173.322,0.66,71.197,1947,3365,169.479,36.052,1.93,0.518,0.9229999999999999
44,1598,102.635,40.586999999999996,0,125,1069.5910000000001,2258.417,390.375,1036,2230,67,55,54.971000000000004,37.013000000000005,149.299,0.132,80.156,1036,2235,146.70600000000002,47.905,1.485,0.6729999999999999,0.591
45,1605,98.868,22.579,38,125,2187.091,3212.4709999999995,279.17900000000003,2165,3179,42,76,64.28399999999999,31.789,90.95299999999999,0.259,80.056,2170,3180,110.47200000000001,42.0,2.022,0.495,0.593
46,1618,82.694,21.363000000000003,53,125,1144.203,2942.45,170.024,1115,2920,59,42,60.122,34.265,159.282,0.703,60.44,1115,2934,163.664,39.802,1.755,0.57,0.91
47,1658,114.881,7.626,92,125,426.185,305.475,385.505,384,217,62,147,101.772,20.743000000000002,70.07,0.14,155.92600000000002,387,364,70.51899999999999,37.735,4.906000000000001,0.204,0.396
48,1661,119.229,4.034,103,125,264.785,2445.719,323.99,246,2400,41,110,88.031,24.024,84.94,0.19899999999999998,114.01799999999999,256,2510,74.745,37.363,3.6639999999999997,0.273,0.5589999999999999
