i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1016,97.881,11.187000000000001,69,113,2917.447,112.41799999999999,200.794,2897,86,52,51,47.965,26.97,126.39299999999999,0.317,55.57,2905,87,120.256,37.82,1.778,0.562,0.612
2,1049,107.184,3.613,98,113,1672.671,1068.703,203.137,1631,1048,65,45,53.698,24.873,158.028,0.319,71.176,1631,1055,155.95600000000002,37.336,2.1590000000000003,0.46299999999999997,0.652
3,1062,84.79799999999999,22.551,0,113,2934.73,1758.226,350.392,2865,1743,142,28,124.20200000000001,10.887,6.737,0.109,143.851,2865,1768,9.2,18.708,11.408,0.08800000000000001,0.46299999999999997
4,1070,89.36399999999999,16.03,45,113,456.533,1175.622,244.007,424,1149,70,46,57.372,23.746,152.219,0.226,73.082,424,1171,163.30100000000002,36.056,2.416,0.414,0.643
5,1074,102.964,5.497000000000001,93,113,1686.9589999999998,1128.963,190.167,1665,1098,42,67,57.376999999999995,23.833000000000002,77.181,0.373,71.169,1669,1165,70.292,35.39,2.407,0.415,0.648
6,1100,96.719,9.767000000000001,67,113,1013.6010000000001,323.883,261.723,1001,270,25,111,105.98899999999999,13.214,97.581,0.20199999999999999,111.759,1005,270,96.68,15.829,8.021,0.125,0.7390000000000001
7,1124,105.295,6.292000000000001,86,113,2671.389,2311.23,225.765,2645,2286,55,46,45.717,31.304000000000002,21.199,0.27699999999999997,64.14,2645,2326,30.964000000000002,40.916,1.46,0.685,0.634
8,1138,101.21,8.603,71,113,2754.278,2339.696,212.551,2728,2321,46,53,50.75,28.55,133.84799999999998,0.317,64.405,2733,2322,126.15799999999999,39.689,1.778,0.563,0.6829999999999999
9,1142,99.368,11.737,48,113,2414.97,573.124,224.93599999999998,2379,548,64,55,69.878,20.808000000000003,40.192,0.284,76.485,2381,600,41.82,32.014,3.358,0.298,0.619
10,1205,97.088,24.128,0,113,2493.475,1519.82,243.179,2473,1488,45,66,64.05,23.954,67.68,0.256,71.694,2489,1554,67.01100000000001,30.764,2.674,0.374,0.7
11,1229,93.241,16.759,22,113,1935.997,893.265,321.203,1908,852,58,71,48.275,32.415,120.272,0.15,71.568,1936,852,97.22399999999999,46.174,1.489,0.6709999999999999,0.48700000000000004
12,1238,95.648,9.517999999999999,54,113,3411.914,254.12400000000002,147.095,3391,230,42,45,44.507,35.416,120.318,0.7190000000000001,52.479,3406,230,120.964,36.166,1.2570000000000001,0.7959999999999999,0.9159999999999999
13,1238,38.63,40.872,0,113,662.507,3138.829,469.62199999999996,611,3027,72,170,73.36,21.487,77.461,0.071,179.778,611,3195,69.146,61.625,3.4139999999999997,0.293,0.193
14,1306,104.31200000000001,6.513999999999999,73,113,230.078,2799.236,275.12,210,2747,35,105,89.928,18.491,94.272,0.217,105.929,225,2747,97.595,31.203000000000003,4.863,0.20600000000000002,0.586
15,1350,80.039,30.601999999999997,0,113,3216.4120000000003,1834.6789999999999,251.179,3173,1819,82,33,79.10600000000001,21.729,7.88,0.26899999999999996,83.744,3173,1841,11.712,29.644000000000002,3.641,0.275,0.6629999999999999
16,1381,104.301,6.813,85,113,3065.2929999999997,2441.737,349.019,3038,2386,51,126,104.336,16.852999999999998,114.68,0.142,129.757,3050,2386,103.822,26.441999999999997,6.191,0.162,0.496
17,1384,103.15799999999999,5.52,89,113,2609.569,597.52,224.794,2591,566,50,69,67.197,26.224,66.542,0.344,72.45,2597,631,63.788999999999994,37.783,2.562,0.39,0.6409999999999999
18,1412,100.20299999999999,10.33,70,113,679.824,692.443,199.38,662,658,42,63,63.034,28.521,109.816,0.446,65.307,671,659,115.38799999999999,36.116,2.21,0.452,0.807
19,1415,94.45100000000001,14.536,41,113,3038.265,378.81199999999995,183.037,3010,357,58,43,54.793,32.881,21.621,0.531,61.033,3010,386,18.137999999999998,37.524,1.666,0.6,0.8440000000000001
20,1462,95.54899999999999,9.902999999999999,66,113,3423.265,384.918,232.451,3396,349,53,65,54.766999999999996,33.989000000000004,66.533,0.34,66.708,3417,414,77.005,51.327,1.611,0.621,0.647
