i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1002,91.447,8.193999999999999,51,108,437.759,1863.974,142.752,417,1841,41,47,56.83,22.449,131.634,0.618,57.385,420,1842,131.468,23.934,2.532,0.395,0.91
2,1008,95.06700000000001,8.291,76,108,1057.161,3068.4440000000004,165.68099999999998,1041,3038,36,59,53.155,24.145,69.617,0.461,60.638000000000005,1046,3097,76.65100000000001,28.386999999999997,2.202,0.45399999999999996,0.804
3,1013,93.615,9.427999999999999,68,108,933.204,118.36200000000001,212.06599999999997,919,91,32,64,55.025,23.44,85.12799999999999,0.28300000000000003,64.031,932,91,91.79,31.301,2.3480000000000003,0.426,0.7
4,1017,73.382,18.976,2,108,1099.015,2216.411,122.569,1081,2197,36,37,39.518,32.766999999999996,126.78299999999999,0.851,43.417,1087,2199,128.454,34.874,1.206,0.8290000000000001,0.951
5,1027,96.541,8.843,68,108,954.174,536.111,233.421,928,510,50,52,54.635,23.934,45.985,0.237,58.523,934,559,56.853,33.061,2.283,0.43799999999999994,0.631
6,1028,44.355,39.736999999999995,0,108,863.5360000000001,522.202,275.22,845,491,38,81,61.4,21.318,84.90899999999999,0.171,81.09899999999999,867,491,92.82700000000001,35.777,2.88,0.34700000000000003,0.518
7,1029,96.079,11.794,19,108,471.931,1955.332,174.40900000000002,453,1922,41,63,70.075,18.697,113.944,0.425,71.12,458,1922,117.646,21.701,3.748,0.267,0.789
8,1034,80.626,14.993,53,108,408.71,1548.039,209.66400000000002,372,1506,60,75,83.88799999999999,15.694,127.223,0.29600000000000004,93.86200000000001,372,1507,128.946,19.468,5.345,0.187,0.755
9,1040,92.37200000000001,7.757000000000001,74,108,437.814,1342.473,390.784,379,1275,88,102,74.562,17.759,130.184,0.086,132.136,379,1275,129.472,28.616999999999997,4.198,0.23800000000000002,0.413
10,1048,59.721000000000004,39.326,0,108,1070.353,160.691,210.794,1034,132,62,57,71.207,18.739,140.39700000000002,0.29600000000000004,75.07300000000001,1041,132,131.76,25.954,3.8,0.263,0.644
