i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1005,92.51299999999999,12.815,51,107,2051.797,996.925,203.137,2035,969,34,60,52.013999999999996,24.601,94.479,0.306,62.769,2038,971,112.479,33.57,2.114,0.473,0.654
2,1034,97.015,13.534,4,107,3009.486,1232.392,274.35,2987,1187,36,87,71.464,18.422,99.954,0.17300000000000001,90.25,2994,1187,105.42200000000001,33.138000000000005,3.8789999999999996,0.258,0.449
3,1035,92.881,10.35,57,107,2151.9339999999997,1113.226,260.79400000000004,2132,1067,35,100,83.59700000000001,15.764000000000001,106.046,0.191,104.695,2133,1067,107.223,24.011,5.303,0.18899999999999997,0.5589999999999999
4,1050,90.27,11.376,59,107,2761.072,813.304,250.451,2742,768,36,71,52.614,25.41,80.704,0.21,72.567,2763,768,101.929,34.306,2.0709999999999997,0.483,0.631
5,1053,94.913,8.181000000000001,76,107,2537.561,69.77,217.865,2491,51,86,40,80.991,16.554000000000002,16.817,0.27899999999999997,88.074,2491,89,12.458,24.496,4.893,0.204,0.637
6,1104,92.102,10.503,27,107,2462.368,1114.693,265.522,2438,1088,55,60,48.848,28.776,37.292,0.19699999999999998,72.346,2438,1148,40.515,46.696000000000005,1.6980000000000002,0.589,0.488
7,1104,97.917,5.433,80,107,2760.531,120.226,186.51,2749,86,23,72,72.036,19.512999999999998,91.465,0.39899999999999997,73.98,2750,86,103.285,23.0,3.6919999999999997,0.271,0.7879999999999999
8,1123,88.596,10.79,64,107,2157.544,746.5830000000001,176.167,2141,717,37,59,53.146,26.904,124.126,0.455,61.351000000000006,2144,718,109.02600000000001,31.588,1.975,0.506,0.784
9,1166,97.709,6.117999999999999,78,107,2402.86,512.344,219.52200000000002,2378,494,56,34,51.099,29.053,177.547,0.304,56.824,2384,494,151.631,33.006,1.7590000000000001,0.569,0.76
10,1184,97.339,7.107,71,107,2611.554,303.513,342.676,2542,272,106,47,69.425,21.714000000000002,4.954,0.127,106.23100000000001,2542,307,176.222,46.42,3.197,0.313,0.355
11,1185,92.54799999999999,10.265,63,107,1141.625,81.594,270.066,1130,21,22,118,111.428,13.540999999999999,87.934,0.204,118.038,1143,21,91.456,20.758000000000003,8.229,0.122,0.6629999999999999
12,1204,95.402,9.48,61,107,2403.283,1109.404,320.191,2387,1054,49,102,86.397,17.744,106.58,0.14800000000000002,107.336,2391,1056,111.306,34.478,4.869,0.205,0.41100000000000003
13,1205,93.991,6.794,74,107,2888.5240000000003,102.071,167.196,2862,73,43,53,58.485,26.233,65.358,0.542,62.29,2862,120,47.603,32.312,2.229,0.449,0.79
14,1207,98.99799999999999,4.962,83,107,1843.4479999999999,625.217,251.865,1818,576,45,83,76.612,20.06,66.593,0.239,91.706,1818,659,64.832,25.811999999999998,3.819,0.262,0.665
15,1213,88.524,8.795,73,107,2756.2659999999996,180.507,160.85299999999998,2732,158,45,43,44.44,34.754,132.14700000000002,0.589,53.75899999999999,2737,163,136.507,38.575,1.2790000000000001,0.782,0.813
16,1225,96.34700000000001,10.638,61,107,2470.119,164.80900000000003,283.262,2440,140,69,48,52.891999999999996,29.489,17.605,0.192,69.354,2440,170,5.792999999999999,44.913999999999994,1.794,0.5579999999999999,0.58
17,1244,96.178,7.672000000000001,76,107,2623.323,115.165,276.291,2594,85,66,64,59.396,26.666999999999998,138.168,0.205,91.22,2595,85,135.444,44.778999999999996,2.227,0.449,0.493
18,1270,97.28,7.35,67,107,2574.317,1087.65,321.747,2541,1035,59,96,89.01100000000001,18.166,66.108,0.154,105.19,2544,1131,65.872,31.752,4.9,0.204,0.522
19,1305,95.94,8.769,63,107,2253.646,886.5039999999999,370.759,2229,830,55,99,67.454,24.633000000000003,106.319,0.11900000000000001,99.85,2243,929,82.51899999999999,47.302,2.738,0.365,0.39299999999999996
20,1386,86.728,12.171,59,107,2833.6859999999997,228.268,220.35,2797,205,79,51,80.111,22.028000000000002,146.141,0.359,87.235,2797,212,154.904,30.064,3.637,0.275,0.696
21,1399,102.086,4.313,87,107,1834.569,271.802,395.103,1802,228,57,93,65.39699999999999,27.238000000000003,105.902,0.113,98.087,1803,231,113.429,41.155,2.401,0.41700000000000004,0.435
22,1402,87.70100000000001,16.482,39,107,2772.913,465.301,268.593,2749,442,64,63,48.903999999999996,36.501,49.528,0.244,73.878,2761,504,50.492,56.44,1.34,0.746,0.56
23,1427,99.72399999999999,5.382000000000001,83,107,116.954,2924.1740000000004,265.664,104,2879,30,93,83.37899999999999,21.791,92.79899999999999,0.254,93.193,108,2879,93.691,26.756999999999998,3.826,0.261,0.733
