i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1002,82.522,13.442,37,100,2706.567,214.205,221.66400000000002,2683,190,61,40,42.026,30.357,0.444,0.256,61.983999999999995,2683,219,10.222000000000001,38.477,1.3840000000000001,0.722,0.598
2,1012,86.723,8.215,67,100,1218.719,700.1,253.907,1207,644,26,100,91.01100000000001,14.158,84.34100000000001,0.19699999999999998,100.319,1220,744,85.426,20.198,6.428,0.156,0.6509999999999999
3,1030,81.035,11.405,52,100,2837.618,3374.5209999999997,220.551,2816,3348,40,59,40.135,32.676,80.439,0.266,61.131,2838,3407,74.827,38.896,1.228,0.8140000000000001,0.679
4,1030,89.766,6.992999999999999,69,100,2686.618,2955.452,157.095,2670,2930,34,51,46.644,28.116,100.406,0.524,51.971000000000004,2685,2930,101.094,32.141999999999996,1.659,0.603,0.818
5,1049,81.484,12.572000000000001,49,100,2002.101,240.458,169.82299999999998,1983,211,34,57,59.58,22.416999999999998,69.281,0.457,60.407,1989,268,70.665,26.264,2.658,0.376,0.804
6,1060,79.058,14.73,32,100,1207.538,120.02,216.794,1174,104,67,34,60.567,22.283,164.83599999999998,0.28300000000000003,69.376,1174,114,164.96200000000002,31.182,2.718,0.368,0.6579999999999999
7,1061,89.04700000000001,8.797,47,100,1075.553,755.943,199.96599999999998,1050,721,44,60,58.68,23.022,57.321999999999996,0.33299999999999996,68.476,1056,781,61.18899999999999,31.546999999999997,2.549,0.392,0.705
8,1065,87.36,11.120999999999999,53,100,2977.165,1248.096,252.69299999999998,2956,1206,36,80,70.923,19.119,101.23200000000001,0.21,82.0,2971,1206,102.68,28.134,3.7089999999999996,0.27,0.56
9,1065,90.146,7.218,70,100,3177.862,1178.537,209.82299999999998,3164,1138,28,75,64.592,20.993000000000002,93.736,0.304,75.664,3177,1138,97.595,26.276,3.077,0.325,0.727
10,1090,87.92200000000001,9.86,55,100,1834.354,1580.8310000000001,292.35,1816,1530,31,104,83.551,16.611,78.715,0.16,104.809,1833,1634,82.875,25.975,5.03,0.19899999999999998,0.5660000000000001
11,1114,92.899,5.86,80,100,572.8380000000001,379.43300000000005,188.794,543,350,58,48,59.849,23.699,33.219,0.39299999999999996,72.801,543,398,37.185,31.535,2.525,0.396,0.732
12,1130,70.304,23.006999999999998,0,100,762.058,171.797,170.85299999999998,745,142,33,66,66.243,21.719,73.462,0.486,69.26,747,208,72.35,25.949,3.05,0.32799999999999996,0.8240000000000001
13,1134,76.81,15.989,0,100,1033.069,107.197,184.752,1005,93,62,32,55.74,25.903000000000002,12.020999999999999,0.41700000000000004,66.708,1006,125,23.875,30.756,2.1519999999999997,0.465,0.794
14,1189,87.721,10.008,56,100,606.5269999999999,55.129,289.747,585,18,50,66,54.669,27.691999999999997,116.58,0.17800000000000002,71.281,587,19,124.13600000000001,37.315,1.974,0.507,0.584
15,1205,73.407,19.096,1,100,1480.636,1183.8310000000001,427.17900000000003,1461,1093,33,189,134.546,11.402999999999999,82.505,0.083,189.447,1467,1282,86.065,22.88,11.799000000000001,0.085,0.373
16,1225,80.17699999999999,15.323,27,100,3380.847,1663.269,305.688,3342,1618,89,101,115.93299999999999,13.454,130.952,0.165,133.869,3342,1619,131.66899999999998,22.320999999999998,8.617,0.11599999999999999,0.524
