i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1010,50.433,48.299,0,144,1300.993,2520.6020000000003,198.894,1269,2500,76,40,76.803,16.744,156.335,0.321,82.855,1269,2507,156.529,21.783,4.587,0.218,0.762
2,1020,114.29799999999999,26.618000000000002,0,144,626.938,3211.258,268.735,609,3170,42,82,67.961,19.109,68.235,0.177,83.678,624,3252,75.46600000000001,26.476999999999997,3.556,0.281,0.603
3,1022,128.56799999999998,17.742,50,144,2166.474,391.654,260.392,2144,357,48,61,47.885,27.175,128.623,0.18899999999999997,68.425,2150,357,116.94,47.191,1.7619999999999998,0.568,0.517
4,1022,34.161,49.476000000000006,0,144,659.438,1091.451,190.93599999999998,639,1063,39,69,60.641000000000005,21.458000000000002,115.02799999999999,0.35200000000000004,70.036,649,1063,99.866,27.888,2.826,0.354,0.653
5,1033,62.645,49.724,0,144,358.69800000000004,1404.763,183.72299999999998,333,1387,48,38,42.663999999999994,30.828000000000003,6.151,0.385,48.093999999999994,333,1399,3.576,35.753,1.3840000000000001,0.723,0.74
6,1059,43.25,53.297,0,144,2560.68,1205.786,244.53400000000002,2535,1171,67,71,70.352,19.166,132.095,0.223,92.315,2542,1171,129.726,32.436,3.6710000000000003,0.272,0.5489999999999999
7,1083,138.648,3.7460000000000004,124,144,684.4760000000001,2131.8320000000003,269.32099999999997,658,2085,43,95,62.174,22.179000000000002,98.164,0.188,97.514,658,2085,103.039,33.536,2.803,0.35700000000000004,0.457
8,1142,138.876,3.9939999999999998,125,144,793.806,595.61,302.33299999999997,743,569,103,54,107.25200000000001,13.557,23.745,0.157,112.00399999999999,743,621,23.131,19.433,7.9110000000000005,0.126,0.669
9,1154,136.477,5.852,116,144,528.393,719.2810000000001,272.735,484,696,96,47,102.74,14.300999999999998,22.531999999999996,0.195,104.0,484,739,22.62,18.929000000000002,7.184,0.139,0.706
10,1216,139.179,4.277,113,144,649.9540000000001,663.919,361.20300000000003,583,632,132,67,136.918,11.308,24.993000000000002,0.11699999999999999,146.697,583,699,25.866,18.885,12.107999999999999,0.083,0.537
11,1238,103.396,25.27,44,144,461.519,1596.476,636.9680000000001,326,1556,261,121,104.927,15.022,153.391,0.038,284.01599999999996,326,1565,156.775,46.721000000000004,6.985,0.14300000000000002,0.14400000000000002
12,1258,138.533,4.467,107,144,1754.455,150.219,338.96,1694,121,120,59,130.066,12.315,24.627,0.138,130.388,1694,177,23.025,19.744,10.562000000000001,0.095,0.602
13,1276,42.474,49.196000000000005,0,144,322.012,1458.095,225.865,306,1431,37,60,56.532,28.738000000000003,89.12799999999999,0.314,61.391999999999996,319,1431,102.225,36.442,1.9669999999999999,0.508,0.743
14,1278,74.488,46.981,0,144,1013.9810000000001,2797.232,281.70599999999996,991,2771,42,52,48.556999999999995,33.510999999999996,77.102,0.20199999999999999,57.706,1002,2822,62.103,41.122,1.449,0.69,0.754
15,1332,80.878,48.191,0,144,799.4810000000001,3393.244,299.889,767,3369,58,53,44.349,38.241,40.723,0.18600000000000003,60.836000000000006,767,3400,25.301,48.6,1.16,0.862,0.608
16,1375,10.841,29.845,0,144,35.885999999999996,1864.386,144.61,12,1843,46,41,46.108999999999995,37.969,178.516,0.826,46.84,13,1871,16.113,40.603,1.214,0.823,0.9309999999999999
17,1457,52.496,48.735,0,144,434.89,1443.849,265.078,396,1403,69,65,57.452,32.29,47.879,0.261,78.518,398,1464,46.548,50.846000000000004,1.7790000000000001,0.562,0.534
18,1500,134.875,11.58,80,144,3201.296,2024.309,495.085,3136,1986,145,87,111.462,17.135,25.76,0.077,161.901,3137,2061,27.198,40.122,6.505,0.154,0.33799999999999997
19,1533,132.408,13.008,37,144,70.212,974.586,404.659,37,940,84,75,65.187,29.943,35.328,0.11800000000000001,99.02,38,1013,33.048,56.613,2.177,0.45899999999999996,0.442
20,1555,130.764,10.128,94,144,679.6,1653.6960000000001,367.99,621,1633,117,40,98.185,20.165,14.119000000000002,0.14400000000000002,119.854,621,1669,12.529000000000002,31.406999999999996,4.869,0.205,0.525
21,1579,61.091,49.717,0,144,1141.3410000000001,2800.7929999999997,370.316,1080,2766,98,83,91.09200000000001,22.070999999999998,37.029,0.145,117.324,1081,2848,34.232,37.069,4.127,0.242,0.57
22,1646,86.366,37.033,0,144,1139.392,2170.749,226.995,1124,2128,33,85,81.956,25.572,96.723,0.401,85.147,1138,2128,93.366,29.443,3.205,0.312,0.81
23,1724,15.258,34.082,0,144,2083.506,474.991,212.894,2062,438,51,67,55.535,39.525999999999996,105.771,0.478,68.447,2065,505,78.19800000000001,50.111000000000004,1.405,0.7120000000000001,0.748
24,1833,35.176,47.953,0,144,3143.679,2631.263,280.91900000000004,3099,2597,81,73,70.71300000000001,33.004,148.362,0.292,82.29799999999999,3124,2597,117.499,54.672,2.1430000000000002,0.467,0.555
25,1855,138.852,3.806,120,144,294.69599999999997,1834.374,370.61699999999996,233,1805,114,75,87.60700000000001,26.96,23.623,0.17,120.333,234,1876,21.448,46.57,3.25,0.308,0.439
26,1870,29.049,43.703,0,144,1397.467,3192.8390000000004,208.551,1369,3166,57,56,60.544,39.326,151.412,0.54,64.008,1370,3179,151.032,44.653,1.54,0.65,0.83
27,1985,17.366,37.219,0,144,1922.0520000000001,574.606,276.225,1869,563,119,24,123.79299999999999,20.416,0.015,0.327,119.507,1869,574,174.71900000000002,23.019000000000002,6.063,0.165,0.78
28,2170,26.755,39.717,0,144,139.22799999999998,412.228,265.22,105,381,72,60,57.826,47.78,179.503,0.38799999999999996,72.173,105,422,176.028,55.836999999999996,1.21,0.826,0.758
29,2175,100.616,34.266,0,144,259.612,1579.2120000000002,628.181,191,1528,127,132,98.223,28.194000000000003,47.777,0.069,167.171,200,1657,48.395,61.015,3.484,0.287,0.26899999999999996
30,2219,73.328,42.228,0,144,3253.803,1530.406,716.039,3206,1459,104,115,55.527,50.882,80.346,0.054000000000000006,133.6,3207,1574,59.403999999999996,92.803,1.091,0.9159999999999999,0.319
31,2414,129.931,12.627,38,144,539.069,1725.121,505.286,451,1688,177,62,142.273,21.604,14.277000000000001,0.11900000000000001,183.393,451,1748,15.173,36.87,6.586,0.152,0.502
32,2420,133.695,11.537,65,144,2231.019,929.936,648.08,2147,874,200,122,154.40200000000002,19.956,27.284000000000002,0.07200000000000001,219.317,2147,965,24.228,58.475,7.737,0.129,0.317
33,2526,129.135,11.512,80,144,398.902,1773.2320000000002,501.671,324,1749,154,54,136.20600000000002,23.613000000000003,14.69,0.126,156.311,325,1791,11.812999999999999,34.232,5.768,0.17300000000000001,0.5820000000000001
34,2598,107.42,27.776999999999997,0,144,1443.7879999999998,2419.544,790.4889999999999,1389,2375,119,77,79.495,41.611000000000004,3.492,0.052000000000000005,131.518,1389,2442,25.201,67.741,1.91,0.523,0.349
35,2637,50.098,50.341,0,144,3213.366,1905.8120000000001,748.1389999999999,3088,1852,207,109,128.349,26.159000000000002,151.06,0.059000000000000004,225.322,3088,1853,156.735,62.08,4.906000000000001,0.204,0.308
36,2824,138.129,5.218999999999999,95,144,1060.822,469.805,858.5310000000001,919,397,302,142,304.72700000000003,11.8,24.614,0.048,329.98900000000003,919,532,23.769000000000002,21.965999999999998,25.825,0.039,0.479
37,2887,77.03399999999999,49.677,0,144,682.544,3244.659,644.08,643,3170,88,159,136.878,26.855,110.566,0.087,168.30900000000003,671,3170,110.15799999999999,42.92100000000001,5.0969999999999995,0.196,0.45399999999999996
38,3146,131.69899999999998,15.591,0,144,1930.3029999999999,3023.85,848.5310000000001,1844,2889,158,284,239.11700000000002,16.752,118.779,0.055,312.34,1865,2889,114.596,32.941,14.274000000000001,0.07,0.337
39,3227,135.881,10.107999999999999,33,144,1541.6589999999999,248.757,856.715,1403,176,290,140,296.212,13.870999999999999,24.506999999999998,0.055,320.306,1403,313,25.125,23.846999999999998,21.355,0.047,0.511
40,3427,50.728,47.067,0,144,1199.299,2755.9809999999998,681.637,1129,2708,128,87,90.05799999999999,48.451,154.958,0.09300000000000001,135.68,1129,2709,160.63,63.815,1.859,0.5379999999999999,0.547
41,3463,130.286,18.249000000000002,0,144,2085.7929999999997,3316.853,714.122,2030,3202,102,203,176.792,24.94,114.365,0.085,216.53900000000002,2036,3202,112.538,40.282,7.0889999999999995,0.141,0.504
42,3649,129.036,9.724,94,144,238.209,1780.491,507.48699999999997,145,1754,173,57,146.201,31.779,168.763,0.17800000000000002,175.09400000000002,145,1757,171.12900000000002,46.056999999999995,4.601,0.217,0.6890000000000001
43,3871,33.207,41.504,0,144,3252.68,1437.04,529.144,3138,1390,162,97,110.88799999999999,44.446999999999996,32.537,0.174,177.27900000000002,3138,1467,23.962,71.59899999999999,2.495,0.401,0.485
44,4115,132.39700000000002,14.811,0,144,2675.281,3341.926,942.798,2499,3255,326,176,337.829,15.509,28.528000000000002,0.057999999999999996,369.121,2499,3430,28.301,26.76,21.783,0.046,0.5
45,4275,45.583,41.669,0,144,2672.938,2022.005,440.70099999999996,2577,1966,156,98,147.47799999999998,36.908,146.30200000000002,0.27699999999999997,172.235,2577,1976,154.923,52.04600000000001,3.9960000000000004,0.25,0.632
46,4751,81.541,44.498000000000005,0,144,1243.633,1635.6870000000001,609.914,1146,1609,182,50,171.486,35.275,178.53799999999998,0.16,182.395,1146,1635,3.772,47.271,4.861000000000001,0.20600000000000002,0.6779999999999999
47,4891,132.273,10.682,77,144,2354.502,50.778,700.164,2286,15,145,69,121.895,51.088,3.262,0.125,146.697,2286,69,11.004000000000001,67.58,2.386,0.419,0.597
48,5030,132.279,11.359000000000002,66,144,2278.167,647.34,987.585,2189,478,167,335,359.404,17.819000000000003,115.82600000000001,0.065,372.082,2190,478,116.49600000000001,31.092,20.169,0.05,0.58
49,5032,42.783,37.032,0,144,2187.311,1409.2220000000002,618.3330000000001,2162,1292,54,236,221.02,28.988000000000003,81.433,0.165,237.32,2183,1528,83.95299999999999,35.851,7.625,0.131,0.76
50,5370,56.58,46.62,0,144,1324.421,445.86300000000006,976.8989999999999,1254,348,143,192,94.055,72.695,145.718,0.071,196.329,1355,348,102.054,125.135,1.294,0.773,0.32899999999999996
51,5585,57.004,45.738,0,144,1237.744,1747.6270000000002,742.2810000000001,1162,1665,122,142,105.334,67.51,110.682,0.127,148.486,1208,1672,117.255,100.155,1.56,0.6409999999999999,0.484
52,5700,47.037,41.053999999999995,0,144,2326.879,1455.233,639.654,2192,1388,263,126,302.94599999999997,23.956,23.551,0.175,287.851,2192,1507,23.983,27.267,12.645999999999999,0.079,0.823
53,5846,55.691,45.18,0,144,1314.358,1097.53,1236.805,1203,976,211,183,124.594,59.74100000000001,130.475,0.048,215.53900000000002,1203,1064,168.22099999999998,116.257,2.086,0.479,0.287
54,6337,57.69,46.778,0,144,877.628,1291.184,1303.651,779,1224,213,186,106.289,75.911,148.41299999999998,0.047,233.06,779,1247,152.116,174.64700000000002,1.4,0.7140000000000001,0.253
55,6900,55.31,41.645,0,144,931.4730000000001,127.85600000000001,1039.443,883,32,123,194,121.96600000000001,72.031,111.98200000000001,0.08,202.111,928,32,107.26899999999999,123.0,1.693,0.591,0.41100000000000003
56,8705,133.078,8.931000000000001,31,144,1937.255,1065.976,1367.398,1726,965,429,209,477.958,23.189,24.546,0.059000000000000004,471.23900000000003,1726,1171,24.444000000000003,33.385,20.611,0.049,0.597
57,10301,64.876,47.3,0,144,1191.856,1578.685,1408.8470000000002,945,1453,484,229,436.44300000000004,30.051,24.391,0.065,533.322,945,1681,24.835,59.438,14.523,0.069,0.462
58,11240,74.958,42.63399999999999,0,144,1835.394,1573.515,693.495,1777,1460,146,213,159.532,89.708,104.836,0.294,214.34799999999998,1825,1673,83.571,131.92700000000002,1.778,0.562,0.5770000000000001
59,12421,77.77,43.526,0,144,1577.382,2369.667,1910.82,1422,2311,298,178,188.063,84.094,172.446,0.043,309.613,1422,2318,164.25799999999998,177.253,2.2359999999999998,0.447,0.31
