i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1028,30.658,51.283,0,165,3325.263,1864.911,152.85299999999998,3299,1843,48,40,44.803000000000004,29.214000000000002,151.945,0.5529999999999999,51.088,3307,1843,130.236,32.539,1.534,0.652,0.79
2,1052,47.257,58.513999999999996,0,165,3128.881,1180.27,155.924,3102,1166,57,30,57.958999999999996,23.11,170.183,0.544,57.489,3103,1173,166.93099999999998,27.081,2.508,0.39899999999999997,0.821
3,1063,131.793,24.27,78,165,1193.1019999999999,3033.7509999999997,180.995,1173,3001,35,55,51.592,26.234,71.215,0.408,58.873000000000005,1179,3056,69.102,33.625,1.9669999999999999,0.508,0.773
4,1106,161.529,3.569,148,165,2160.518,419.142,285.362,2126,392,65,45,50.24,28.03,179.84799999999998,0.171,66.098,2128,411,162.387,43.47,1.7919999999999998,0.5579999999999999,0.547
5,1115,138.82,20.92,78,165,3352.3579999999997,3210.1740000000004,207.52200000000002,3323,3184,52,53,60.839,23.335,49.306000000000004,0.325,70.093,3323,3237,47.891000000000005,31.747,2.6069999999999998,0.384,0.7020000000000001
6,1158,87.31,64.682,0,165,2171.458,144.619,326.57599999999996,2132,118,81,56,56.996,25.869,18.322,0.136,87.09200000000001,2132,151,21.557,43.596000000000004,2.2030000000000003,0.45399999999999996,0.48700000000000004
7,1227,63.606,64.926,0,165,2069.18,837.405,201.52200000000002,2040,805,50,63,68.975,22.65,59.70399999999999,0.38,73.24600000000001,2041,868,51.096000000000004,28.066999999999997,3.045,0.32799999999999996,0.722
8,1259,135.593,19.882,74,165,2943.538,3195.1,291.948,2908,3171,73,49,48.292,33.194,176.32299999999998,0.18600000000000003,73.335,2908,3188,174.523,47.07,1.455,0.687,0.5660000000000001
9,1266,33.575,50.409,0,165,2548.111,2138.134,161.095,2516,2124,62,32,57.846000000000004,27.866,179.18099999999998,0.613,62.29,2516,2141,5.528,31.298000000000002,2.076,0.48200000000000004,0.892
10,1449,56.115,66.47,0,165,3064.9959999999996,2524.305,273.505,3035,2485,75,76,82.23,22.436,134.22,0.243,101.833,3038,2488,134.204,30.099,3.665,0.273,0.6609999999999999
11,1621,32.184,53.192,0,165,2977.9,2610.302,207.137,2940,2592,74,38,69.264,29.798000000000002,15.505999999999998,0.475,74.108,2940,2602,176.90599999999998,35.41,2.324,0.43,0.812
12,1669,72.258,66.77600000000001,0,165,1316.3929999999998,298.309,359.404,1288,272,68,53,54.72,38.835,17.904,0.162,70.774,1288,319,23.305,49.96,1.409,0.71,0.638
13,1715,161.834,3.062,145,165,2185.5170000000003,385.897,304.434,2135,359,78,68,69.805,31.281999999999996,139.528,0.233,92.41799999999999,2135,364,144.246,46.505,2.2319999999999998,0.44799999999999995,0.551
14,2013,95.79,46.403,0,165,3218.112,570.904,641.889,3073,550,288,39,184.03,13.927,2.638,0.061,288.501,3073,572,176.622,37.777,13.214,0.076,0.294
15,2341,36.735,49.881,0,165,2086.2670000000003,1831.851,231.52200000000002,2044,1799,79,61,83.90299999999999,35.525,33.084,0.5489999999999999,85.44,2050,1854,32.574,40.918,2.362,0.423,0.813
16,2363,138.533,16.441,82,165,218.952,2470.301,254.49200000000002,191,2434,53,85,81.49,36.921,66.905,0.45799999999999996,93.47200000000001,195,2519,63.983000000000004,44.38399999999999,2.207,0.45299999999999996,0.853
17,2375,74.919,59.593,0,165,2923.204,1622.405,377.30400000000003,2890,1573,69,88,77.408,39.065,65.758,0.21,102.083,2891,1659,57.4,68.245,1.982,0.505,0.591
18,2411,83.51299999999999,56.858999999999995,0,165,1576.5439999999999,1209.8519999999999,438.316,1549,1154,57,97,84.60700000000001,36.283,111.456,0.158,103.12100000000001,1562,1154,109.84100000000001,47.135,2.332,0.429,0.7040000000000001
19,2660,47.956,58.273,0,165,821.45,1962.076,413.546,778,1908,81,116,92.259,36.71,68.625,0.195,119.101,820,2024,76.89699999999999,58.315,2.513,0.39799999999999996,0.5529999999999999
20,2902,24.013,42.541000000000004,0,165,2619.889,1583.817,310.392,2597,1523,50,108,97.98200000000001,37.71,94.631,0.379,108.116,2624,1631,87.34899999999999,48.225,2.5980000000000003,0.385,0.723
21,2924,76.13600000000001,49.597,0,165,762.6489999999999,1598.739,311.404,719,1559,80,74,73.1,50.93,21.171,0.379,86.60799999999999,723,1629,31.304000000000002,70.204,1.435,0.6970000000000001,0.682
22,3076,81.38,36.164,14,165,2968.574,60.805,250.392,2936,24,66,75,70.227,55.769,92.06,0.617,77.13,2961,99,76.50399999999999,64.119,1.2590000000000001,0.794,0.838
23,3452,94.494,40.437,0,165,2342.377,828.7310000000001,497.286,2299,785,100,85,82.902,53.016999999999996,14.815,0.175,102.786,2299,851,17.554000000000002,74.131,1.564,0.64,0.5870000000000001
24,3523,82.742,57.935,0,165,2677.321,103.941,627.7959999999999,2631,37,87,140,110.751,40.501999999999995,116.825,0.11199999999999999,144.7,2660,43,113.199,64.27600000000001,2.734,0.366,0.536
25,3540,91.069,52.802,0,165,1731.195,581.994,467.144,1672,554,134,55,117.531,38.35,176.03900000000002,0.204,134.952,1672,591,6.809,55.0,3.065,0.326,0.57
26,3657,91.209,45.273,0,165,1378.729,2005.0610000000001,383.00199999999995,1319,1965,111,72,105.07799999999999,44.312,161.84799999999998,0.313,121.20200000000001,1321,1980,154.069,53.638000000000005,2.371,0.42200000000000004,0.7490000000000001
27,4079,89.927,54.513999999999996,0,165,2730.86,1068.859,624.139,2662,982,108,151,102.059,50.888000000000005,88.682,0.132,159.088,2715,1132,70.54,103.947,2.006,0.499,0.39899999999999997
28,4101,98.41,51.461999999999996,0,165,2346.394,1589.1270000000002,663.453,2276,1554,149,76,119.863,43.563,5.688,0.11699999999999999,150.207,2276,1558,172.733,73.65100000000001,2.752,0.363,0.573
29,4114,86.802,32.711999999999996,29,165,2997.4390000000003,151.122,374.191,2949,118,97,64,86.736,60.391999999999996,172.093,0.369,98.478,2949,141,170.05900000000003,63.583,1.436,0.696,0.856
30,4196,90.18299999999999,62.196999999999996,0,165,683.31,2844.6620000000003,782.607,634,2800,107,125,79.793,66.955,105.345,0.086,133.933,649,2802,113.311,98.705,1.192,0.8390000000000001,0.486
31,4288,90.881,56.458,0,165,2361.351,694.2230000000001,916.815,2300,640,99,126,93.84100000000001,58.18,63.586999999999996,0.064,136.235,2301,746,49.763999999999996,98.191,1.6130000000000002,0.62,0.40700000000000003
32,4975,67.883,56.244,0,165,2469.4770000000003,2627.257,602.624,2419,2534,110,152,106.333,59.571000000000005,107.791,0.172,153.584,2473,2534,98.236,104.448,1.785,0.56,0.469
33,5015,100.512,61.681000000000004,0,165,240.653,115.333,1056.011,169,49,141,138,80.86,78.967,65.071,0.057,164.21,203,49,122.819,134.263,1.024,0.977,0.303
34,5118,80.169,56.706,0,165,662.363,2033.6989999999998,629.955,504,1985,235,96,146.158,44.585,11.231,0.162,243.041,504,2053,14.78,81.57600000000001,3.278,0.305,0.452
35,5562,77.617,59.275,0,165,2993.442,1505.614,887.4010000000001,2954,1440,117,166,101.368,69.862,88.611,0.08900000000000001,171.563,2959,1441,105.9,117.0,1.4509999999999998,0.6890000000000001,0.41100000000000003
36,7038,75.729,49.669,0,165,145.529,2506.279,894.33,78,2378,113,214,184.577,48.549,115.87899999999999,0.111,229.993,80,2382,114.671,70.006,3.802,0.263,0.5710000000000001
37,7205,80.671,55.027,0,165,2525.86,1736.776,808.465,2452,1656,200,138,101.31,90.551,21.735,0.139,200.808,2452,1762,174.857,133.769,1.119,0.894,0.434
38,7829,88.963,57.11600000000001,0,165,477.62699999999995,3004.465,1231.734,403,2900,168,173,103.844,95.992,56.788999999999994,0.065,207.96599999999998,425,3070,46.559,157.21,1.082,0.924,0.34700000000000003
39,8637,75.609,54.833,0,165,2379.132,2230.605,2309.925,2153,2145,440,221,199.76,55.051,17.519000000000002,0.02,491.48900000000003,2153,2364,26.461,135.997,3.6289999999999996,0.276,0.184
40,13229,104.12700000000001,48.93,0,165,1112.246,1261.8239999999998,1546.043,995,1154,197,292,203.75799999999998,82.665,56.975,0.07,308.574,1038,1439,66.509,169.4,2.465,0.406,0.37
41,29546,99.016,37.976,0,165,3009.718,160.70600000000002,2259.738,2840,9,333,317,215.41,174.639,10.772,0.073,334.834,2840,160,6.0,286.91700000000003,1.2329999999999999,0.8109999999999999,0.396
42,30918,90.64399999999999,47.38,0,165,2571.2270000000003,2106.97,3124.37,2176,1865,566,479,265.937,148.02700000000002,150.953,0.04,625.962,2190,1865,130.91899999999998,316.007,1.797,0.557,0.215
43,33499,107.66799999999999,47.266999999999996,0,165,1251.41,2794.513,3896.558,1024,2602,388,375,237.855,179.32,106.538,0.027999999999999997,406.787,1202,2602,113.162,333.624,1.3259999999999998,0.754,0.35600000000000004
44,41493,87.133,52.27,0,165,423.15,688.188,7079.743,91,382,766,548,252.16099999999997,209.511,177.071,0.01,803.097,106,911,41.011,507.897,1.204,0.831,0.14400000000000002
45,41963,78.032,53.989,0,165,1916.681,2896.2690000000002,4333.462,1651,2682,504,568,258.192,206.935,111.94,0.027999999999999997,568.318,1903,3250,88.084,454.01099999999997,1.248,0.8009999999999999,0.225
46,55512,87.991,52.126000000000005,0,165,1904.5410000000002,1319.0539999999999,7165.887,1490,1040,913,622,268.85200000000003,262.89599999999996,172.55700000000002,0.013999999999999999,914.84,1490,1456,3.635,608.3290000000001,1.023,0.978,0.138
