i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1003,83.728,11.517000000000001,49,102,253.958,633.288,259.22,207,609,82,61,79.697,16.024,32.734,0.188,98.73700000000001,207,670,33.851,25.465,4.974,0.201,0.535
2,1005,89.24600000000001,8.857999999999999,57,102,1657.5220000000002,358.079,270.291,1642,328,46,63,47.102,27.166999999999998,84.944,0.17300000000000001,63.285,1652,391,84.56,43.696999999999996,1.734,0.5770000000000001,0.5710000000000001
3,1007,92.896,6.407,69,102,3098.085,741.737,230.93599999999998,3079,706,33,69,56.913000000000004,22.528000000000002,82.928,0.237,69.87100000000001,3093,775,80.942,31.171,2.526,0.396,0.6759999999999999
4,1039,86.785,10.137,64,102,3307.8920000000003,1150.01,191.137,3288,1127,48,50,53.32899999999999,24.805999999999997,123.64399999999999,0.35700000000000004,65.069,3289,1132,136.245,30.087,2.15,0.465,0.7170000000000001
5,1063,94.00299999999999,10.940999999999999,0,102,3397.347,992.3910000000001,359.546,3369,948,50,86,52.769,25.649,75.182,0.10300000000000001,86.09299999999999,3413,948,92.663,50.0,2.057,0.486,0.374
6,1076,90.804,8.485,56,102,1738.725,3364.244,196.30900000000003,1702,3349,63,35,56.153,24.398000000000003,164.90200000000002,0.35100000000000003,64.327,1702,3362,168.34099999999998,31.287,2.302,0.434,0.669
7,1076,85.62899999999999,10.895,58,102,125.385,525.6469999999999,171.581,106,505,43,42,43.676,31.368000000000002,36.919000000000004,0.45899999999999996,52.202,107,547,36.431,37.048,1.392,0.718,0.779
8,1091,93.738,6.84,69,102,522.8430000000001,3324.143,246.593,491,3295,58,43,53.183,26.119,16.721,0.225,66.73100000000001,491,3334,29.638,38.963,2.036,0.491,0.593
9,1120,90.32,14.92,0,102,470.524,878.3689999999999,257.907,449,842,41,67,61.81100000000001,23.070999999999998,73.027,0.212,71.309,450,908,67.751,31.119,2.679,0.373,0.638
10,1127,49.941,33.202,0,102,116.68700000000001,2630.3070000000002,222.49200000000002,89,2592,54,80,91.73200000000001,15.642999999999999,121.83,0.28600000000000003,91.586,94,2594,121.60799999999999,20.779,5.864,0.171,0.738
11,1132,91.061,9.655,65,102,316.716,3410.383,237.80599999999998,293,3378,48,55,44.037,32.729,92.584,0.252,55.443999999999996,306,3378,97.25299999999999,46.667,1.345,0.743,0.601
12,1189,87.689,10.889000000000001,54,102,843.794,703.982,261.765,831,658,30,93,77.38600000000001,19.563,89.852,0.218,93.34299999999999,838,751,85.083,29.13,3.9560000000000004,0.253,0.603
13,1212,91.71799999999999,5.707999999999999,76,102,27.239,667.437,232.25,6,640,44,54,52.906000000000006,29.168000000000003,54.585,0.282,61.4,14,693,59.676,37.335,1.814,0.551,0.737
14,1238,83.28200000000001,13.694,45,102,741.924,79.592,262.534,721,42,48,80,65.09,24.217,68.824,0.226,86.925,731,122,66.975,35.543,2.688,0.37200000000000005,0.584
15,1252,12.017999999999999,26.201,0,102,2358.601,1627.096,240.794,2332,1579,43,88,78.54,20.297,102.26299999999999,0.271,93.984,2333,1579,110.556,27.936999999999998,3.87,0.258,0.604
16,1272,89.854,8.277000000000001,67,102,739.865,655.5310000000001,221.865,724,627,37,61,54.144,29.912,97.338,0.325,61.66,732,627,98.39299999999999,34.923,1.81,0.552,0.7559999999999999
17,1294,79.21300000000001,14.019,21,102,842.7310000000001,141.525,287.889,802,92,82,89,103.54799999999999,15.911,49.138999999999996,0.196,118.34299999999999,806,181,48.769,23.035999999999998,6.507999999999999,0.154,0.659
18,1340,83.684,9.104,57,102,1630.98,417.86199999999997,206.894,1611,376,39,83,76.503,22.302,70.58,0.39299999999999996,87.596,1611,459,71.358,24.35,3.43,0.292,0.848
19,1430,15.379000000000001,28.563000000000002,0,102,2218.12,503.276,287.865,2160,475,92,41,73.876,24.646,7.452000000000001,0.217,92.542,2160,502,173.797,40.204,2.997,0.33399999999999996,0.578
