i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1009,95.325,37.909,0,150,2944.329,3085.6940000000004,194.551,2921,3063,51,41,47.555,27.015,169.84599999999998,0.335,51.352,2921,3091,6.71,36.688,1.76,0.568,0.684
2,1021,126.654,16.969,70,150,1157.195,1283.367,301.46299999999997,1104,1265,109,57,71.78699999999999,18.109,16.886,0.141,113.053,1104,1318,15.388,35.29,3.964,0.252,0.307
3,1029,146.681,2.44,140,150,2994.823,472.517,200.93599999999998,2981,441,29,69,68.108,19.237000000000002,79.92,0.32,69.87100000000001,2991,510,80.942,25.164,3.5410000000000004,0.282,0.731
4,1037,103.009,39.361999999999995,1,150,1528.5279999999998,2633.837,149.296,1497,2621,58,26,59.608000000000004,22.151,173.148,0.585,58.549,1497,2629,172.14700000000002,24.428,2.6910000000000003,0.37200000000000005,0.871
5,1042,122.146,21.291,56,150,681.452,2914.5759999999996,325.563,664,2860,48,94,65.125,20.372,109.369,0.124,101.53299999999999,665,2861,117.575,36.019,3.197,0.313,0.387
6,1050,37.566,48.552,0,150,1696.17,2570.304,134.953,1681,2548,32,45,45.088,29.651,91.852,0.7240000000000001,45.618,1684,2549,116.00299999999999,31.746,1.521,0.6579999999999999,0.9009999999999999
7,1052,108.824,33.866,0,150,2622.9959999999996,1883.09,333.83099999999996,2582,1828,84,114,116.988,11.449000000000002,124.336,0.11900000000000001,140.428,2584,1828,125.727,21.658,10.218,0.098,0.447
8,1084,147.034,2.542,134,150,3173.76,2087.0789999999997,221.96599999999998,3154,2044,41,78,82.383,16.753,107.679,0.276,84.119,3155,2044,118.39299999999999,21.971999999999998,4.917,0.203,0.69
9,1085,45.214,50.068999999999996,0,150,652.109,2694.244,160.125,640,2659,26,66,65.92699999999999,20.955,101.01799999999999,0.532,67.469,645,2659,101.976,24.392,3.1460000000000004,0.318,0.9059999999999999
10,1095,137.555,8.532,96,150,1977.3470000000002,2670.9040000000005,176.551,1955,2650,47,44,53.228,26.193,140.916,0.441,59.548,1956,2654,139.086,33.094,2.032,0.49200000000000005,0.805
11,1102,124.429,38.003,0,150,2234.012,356.08099999999996,314.434,2205,337,62,39,50.327,27.88,169.625,0.14,66.12899999999999,2205,348,159.64700000000002,34.811,1.805,0.5539999999999999,0.631
12,1107,99.537,31.284000000000002,11,150,2299.449,3424.308,135.983,2284,3401,32,47,49.391999999999996,28.535999999999998,75.59,0.752,48.549,2286,3444,57.619,28.756999999999998,1.7309999999999999,0.578,0.922
