i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1004,91.915,11.408,64,110,2626.6479999999997,1649.151,211.96599999999998,2601,1610,46,71,60.162,21.248,58.265,0.281,79.158,2602,1681,63.75899999999999,31.668000000000003,2.8310000000000004,0.353,0.564
2,1005,93.625,9.976,70,110,3271.821,2863.059,240.451,3256,2820,30,81,76.59,16.707,100.348,0.218,81.30199999999999,3264,2820,94.939,24.674,4.584,0.218,0.618
3,1017,102.428,5.071000000000001,85,110,2465.577,839.336,226.69299999999998,2450,808,41,62,53.012,24.426,96.955,0.249,62.65,2466,808,98.259,38.948,2.17,0.461,0.5920000000000001
4,1020,100.95200000000001,4.7669999999999995,90,110,2697.7670000000003,2044.933,154.167,2671,2028,54,34,58.525,22.191,22.331,0.539,56.648,2671,2054,20.674,26.1,2.637,0.379,0.8340000000000001
5,1023,100.23899999999999,8.395,77,110,1968.325,106.57600000000001,220.69299999999998,1934,81,68,42,59.733999999999995,21.805,157.126,0.264,76.538,1934,81,151.091,31.561999999999998,2.739,0.365,0.67
6,1023,72.083,39.924,0,110,2742.922,1675.5620000000001,258.735,2720,1656,47,49,40.888000000000005,31.855999999999998,62.626999999999995,0.192,59.816,2729,1705,51.788999999999994,41.409,1.284,0.779,0.614
7,1040,103.08,5.4510000000000005,78,110,1402.5770000000002,1359.662,328.57599999999996,1363,1316,60,73,40.348,32.818000000000005,35.508,0.121,78.102,1363,1366,39.806,54.092,1.229,0.813,0.42
8,1048,94.161,8.3,73,110,2650.768,1679.957,162.51,2630,1660,38,53,40.529,32.924,94.277,0.499,55.714,2645,1661,111.038,38.0,1.2309999999999999,0.812,0.73
9,1056,84.306,13.39,62,110,2537.491,1429.418,196.65200000000002,2509,1411,61,34,55.799,24.096,168.642,0.34299999999999997,63.6,2509,1425,163.56,33.775,2.316,0.43200000000000005,0.7040000000000001
10,1068,21.590999999999998,34.388000000000005,0,110,1368.671,3255.1929999999998,170.208,1338,3228,58,51,68.589,19.826,40.985,0.46299999999999997,70.036,1338,3277,43.263999999999996,24.041999999999998,3.46,0.289,0.83
11,1070,106.568,2.4419999999999997,97,110,2038.15,272.518,213.622,2007,246,62,42,46.6,29.235,6.505,0.295,64.031,2007,281,14.47,40.68,1.594,0.627,0.6459999999999999
12,1101,96.305,16.19,0,110,1443.713,1688.467,428.659,1412,1649,60,75,47.512,29.505,106.086,0.075,89.045,1422,1649,122.619,52.28,1.61,0.621,0.325
