i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1034,125.87799999999999,8.817,68,134,2482.865,393.591,261.12,2465,360,41,63,50.11600000000001,26.27,92.71,0.191,63.64,2471,423,81.87,40.391,1.9080000000000001,0.524,0.5589999999999999
2,1166,30.087,42.577,0,134,2582.982,736.793,191.137,2553,719,55,44,43.083999999999996,34.458,141.813,0.401,57.567,2553,729,162.82399999999998,41.13399999999999,1.25,0.8,0.741
3,1215,124.23200000000001,8.084,82,134,2481.495,951.209,221.765,2454,923,52,53,47.49100000000001,32.574,138.4,0.31,63.246,2470,923,124.695,39.738,1.4580000000000002,0.6859999999999999,0.7609999999999999
4,1219,124.009,7.347,93,134,2934.9,1060.27,279.664,2895,1043,85,31,69.791,22.239,7.751,0.196,86.145,2895,1062,9.353,30.877,3.138,0.319,0.633
5,1307,125.789,6.581,106,134,3407.384,1159.818,242.149,3382,1134,54,51,53.43,31.146,32.629,0.28,64.405,3384,1174,36.158,45.996,1.715,0.583,0.68
6,1413,54.391000000000005,45.839,0,134,1249.683,2626.7670000000003,265.078,1216,2595,53,61,52.853,34.039,68.509,0.253,63.071000000000005,1240,2656,64.654,49.641000000000005,1.5530000000000002,0.644,0.586
7,1420,121.821,8.042,103,134,2759.27,779.378,256.149,2727,747,64,79,87.89200000000001,20.570999999999998,126.15700000000001,0.272,97.20100000000001,2730,748,126.634,29.285999999999998,4.273,0.23399999999999999,0.672
8,1459,124.96,6.832000000000001,81,134,1983.3310000000001,449.26099999999997,298.291,1950,404,61,74,64.578,28.766,51.251999999999995,0.20600000000000002,84.38,1963,476,58.57,41.675,2.245,0.445,0.55
9,1566,111.056,35.739000000000004,0,134,2884.312,327.755,367.588,2839,293,86,63,64.874,30.735,17.18,0.146,94.895,2840,340,28.996,53.865,2.1109999999999998,0.474,0.431
10,1576,26.673000000000002,40.939,0,134,1067.017,2619.1079999999997,246.25,1036,2589,65,54,51.472,38.985,159.028,0.327,68.622,1036,2614,161.30100000000002,44.961999999999996,1.32,0.757,0.7140000000000001
11,2181,129.547,3.0180000000000002,118,134,2564.238,1552.71,396.09,2504,1537,119,30,108.527,25.588,0.662,0.175,121.01700000000001,2504,1564,10.474,29.278000000000002,4.2410000000000005,0.23600000000000002,0.727
12,2199,33.412,41.821000000000005,0,134,661.945,1526.445,395.37,597,1456,121,140,179.475,15.6,47.832,0.177,181.813,597,1596,50.356,22.89,11.505,0.087,0.6779999999999999
13,2220,124.464,8.152000000000001,95,134,2813.461,274.436,382.61699999999996,2785,219,57,120,119.67399999999999,23.619,73.442,0.191,125.28399999999999,2805,339,73.301,33.195,5.067,0.19699999999999998,0.63
14,4012,21.29,37.156,0,134,1344.4229999999998,3096.825,581.595,1263,2987,142,227,243.58900000000003,20.971,61.41,0.149,255.838,1269,3214,62.534,30.854,11.616,0.086,0.568
15,4904,44.548,39.553000000000004,0,134,1888.922,362.35,869.4839999999999,1827,278,170,127,100.514,62.12,4.215,0.08199999999999999,170.75099999999998,1827,348,174.623,121.59299999999999,1.618,0.618,0.33799999999999997
16,6979,58.473,41.011,0,134,135.763,1323.4229999999998,1145.55,64,1266,186,146,116.697,76.145,157.003,0.067,186.172,64,1292,2.463,138.467,1.5330000000000001,0.653,0.377
17,12433,60.812,32.631,0,134,934.4839999999999,2953.535,1154.989,688,2840,420,243,422.805,37.441,30.468000000000004,0.11699999999999999,463.06,688,3057,24.905,59.83,11.293,0.08900000000000001,0.5539999999999999
18,14794,71.45,38.080999999999996,0,134,830.187,639.268,1598.8370000000002,735,467,215,316,213.771,88.11399999999999,114.2,0.073,326.33299999999997,745,467,114.052,168.83900000000003,2.426,0.41200000000000003,0.449
19,47726,62.403,31.147,0,134,2450.971,748.082,3300.7859999999996,2101,21,649,1305,1388.751,43.756,117.22399999999999,0.055,1450.855,2102,21,115.912,61.978,31.738000000000003,0.032,0.654
