i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1058,100.984,21.377,56,131,3937.148,1387.709,163.338,3906,1373,62,29,49.729,27.089,3.95,0.498,62.129,3906,1384,176.309,28.428,1.836,0.545,0.825
2,1128,49.127,46.193,0,131,2924.108,1878.287,198.995,2891,1847,49,58,47.729,30.091,76.804,0.358,58.215,2916,1847,94.927,41.627,1.586,0.63,0.599
3,1137,19.375,37.069,0,131,2070.305,1080.113,163.581,2043,1052,47,54,64.617,22.404,57.52,0.534,64.537,2044,1101,49.399,24.327,2.884,0.347,0.864
4,1157,102.077,17.921,64,131,2794.039,1234.456,131.539,2776,1212,39,42,41.703,35.325,127.936,0.84,45.188,2786,1212,114.864,35.778,1.181,0.847,0.939
5,1174,113.029,13.273,79,131,669.445,2518.039,255.22,637,2479,64,94,105.678,14.145,122.43,0.226,112.33,637,2480,124.114,19.966,7.471,0.134,0.698
6,1188,111.177,13.166,74,131,3887.431,2665.21,198.35,3862,2637,48,52,59.745,25.318,54.137,0.379,60.959,3863,2685,41.009,32.756,2.36,0.424,0.733
7,1227,84.932,21.106,54,131,1395.467,1552.264,134.125,1374,1532,42,40,45.975,33.981,137.352,0.857,48.415,1378,1536,141.71,34.202,1.353,0.739,0.954
8,1277,56.241,44.95,0,131,3462.79,2806.602,148.024,3433,2790,56,34,53.322,30.492,9.88,0.732,56.321,3433,2808,6.116,34.0,1.749,0.572,0.912
9,1282,124.005,6.141,97,131,123.661,2643.444,430.801,75,2624,89,40,67.161,24.304,177.838,0.087,89.944,75,2644,8.31,38.118,2.763,0.362,0.509
10,1339,120.285,9.061,92,131,3838.379,1463.273,251.806,3802,1432,63,61,67.249,25.352,50.817,0.265,72.069,3802,1474,29.055,35.777,2.653,0.377,0.666
11,1444,107.784,14.793,79,131,3529.798,935.448,189.622,3499,914,64,47,67.392,27.282,31.26,0.505,70.328,3499,952,29.846,30.136,2.47,0.405,0.848
12,1478,62.542,38.875,0,131,2666.267,2773.643,206.652,2649,2730,38,81,80.432,23.397,104.85,0.435,82.037,2666,2730,99.118,28.217,3.438,0.291,0.756
13,1529,35.979,39.065,0,131,2043.383,1887.355,188.309,2021,1851,44,71,77.67,25.065,113.406,0.542,74.33,2030,1851,107.216,26.979,3.099,0.323,0.877
14,1569,55.305,37.086,0,131,2868.449,495.877,205.179,2839,460,56,74,90.246,22.136,57.539,0.468,88.006,2840,532,53.781,23.458,4.077,0.245,0.925
15,1685,60.617,34.274,0,131,1779.459,1941.101,214.208,1763,1903,40,71,72.65,29.531,97.452,0.461,72.567,1772,1903,101.929,39.901,2.46,0.406,0.797
16,1757,123.894,5.591,102,131,662.283,2691.995,502.198,611,2671,101,46,78.332,28.559,8.589,0.088,102.961,611,2700,11.201,42.979,2.743,0.365,0.528
17,1873,105.546,21.04,47,131,658.958,268.589,193.279,630,239,59,60,76.934,30.998,132.245,0.63,79.981,632,239,132.466,33.472,2.482,0.403,0.921
18,1992,103.943,22.289,38,131,1941.346,2617.28,216.593,1909,2585,71,59,82.087,30.898,141.712,0.534,83.217,1910,2593,147.265,35.133,2.657,0.376,0.843
19,2129,73.942,35.498,0,131,3112.962,2014.847,256.149,3087,1980,54,73,66.644,40.674,70.796,0.408,74.148,3099,2053,79.902,53.272,1.638,0.61,0.745
20,2254,104.962,14.079,70,131,3281.266,2053.905,272.492,3226,2030,110,50,113.616,25.259,17.388,0.381,113.508,3226,2069,14.281,33.836,4.498,0.222,0.806
21,2579,85.556,28.679,16,131,961.373,328.821,272.233,917,289,87,91,112.709,29.134,133.762,0.437,121.083,923,290,131.987,30.987,3.869,0.258,0.896
22,2645,68.244,31.995,0,131,2281.841,1064.081,438.174,2219,1016,113,86,77.849,43.26,8.07,0.173,114.935,2219,1088,10.528,71.086,1.8,0.556,0.481
23,2693,61.352,41.006,0,131,1248.599,1303.905,423.931,1201,1264,91,98,91.832,37.338,54.381,0.188,123.167,1201,1359,42.368,54.499,2.459,0.407,0.534
24,2702,120.95,7.691,95,131,496.647,1847.566,622.181,434,1818,139,63,106.67,32.252,174.207,0.088,139.23,434,1854,176.706,54.196,3.307,0.302,0.484
25,2705,101.269,17.737,65,131,569.255,700.446,291.421,522,660,72,93,88.793,38.788,112.327,0.4,103.446,525,663,119.539,51.878,2.289,0.437,0.655
26,2761,103.258,19.604,57,131,390.161,578.257,258.836,340,552,100,52,104.207,33.735,157.562,0.518,108.853,340,555,156.732,36.897,3.089,0.324,0.907
27,2775,89.545,24.792,32,131,2120.318,2455.215,373.789,2086,2410,90,83,74.268,47.574,122.86,0.25,96.835,2097,2413,144.669,72.238,1.561,0.641,0.586
28,2783,77.866,33.023,0,131,2426.861,1857.262,408.174,2392,1811,88,87,73.61,48.138,124.672,0.21,96.4,2410,1812,126.989,74.397,1.529,0.654,0.55
29,2830,90.629,21.012,27,131,3554.739,1552.296,250.007,3506,1530,97,46,92.18,39.089,177.507,0.569,97.046,3506,1552,178.229,46.0,2.358,0.424,0.867
30,2841,58.771,38.773,0,131,1496.003,1851.191,370.233,1464,1797,92,94,93.51,38.683,126.755,0.26,113.406,1465,1803,142.524,60.283,2.417,0.414,0.602
31,2914,118.491,10.184,82,131,574.909,2960.477,572.524,533,2924,98,69,75.908,48.878,20.131,0.112,103.092,533,2983,18.083,68.382,1.553,0.644,0.561
32,2962,81.074,29.417,0,131,2548.016,2164.916,415.304,2507,2112,87,111,77.778,48.488,100.763,0.216,117.987,2548,2112,109.817,69.675,1.604,0.623,0.558
33,3036,80.488,31.495,0,131,3458.124,1544.699,435.872,3419,1504,95,110,75.489,51.207,91.516,0.201,113.759,3434,1504,104.769,85.049,1.474,0.678,0.462
34,3052,38.183,35.945,0,131,3026.142,1995.042,312.635,2992,1930,72,101,79.392,48.946,119.095,0.392,104.547,3001,1930,104.967,65.002,1.622,0.617,0.678
35,3060,70.279,34.384,0,131,2591.927,1443.677,457.789,2558,1378,59,122,101.868,38.247,84.964,0.183,127.781,2575,1500,72.699,57.892,2.663,0.375,0.573
36,3120,109.016,15.345,33,131,3394.156,2116.391,374.032,3342,2073,98,71,92.334,43.023,20.377,0.28,99.85,3342,2134,29.389,60.263,2.146,0.466,0.699
37,3330,74.344,32.868,0,131,2079.788,1684.446,456.274,2019,1639,119,95,92.177,45.997,1.642,0.201,125.543,2019,1641,161.421,89.243,2.004,0.499,0.51
38,3557,58.103,35.677,0,131,2045.055,1446.953,612.441,2001,1379,149,126,72.51,62.459,40.463,0.119,156.541,2001,1382,160.986,118.791,1.161,0.861,0.339
39,3990,69.494,36.343,0,131,2556.187,1772.802,409.806,2538,1699,37,172,151.178,33.604,87.691,0.299,172.409,2546,1871,82.669,37.0,4.499,0.222,0.81
40,4092,109.101,16.979,37,131,2438.624,2948.591,409.103,2397,2894,79,101,106.919,48.729,56.161,0.307,117.89,2405,2993,55.366,65.99,2.194,0.456,0.737
41,4136,84.571,25.705,0,131,3228.979,2299.955,432.333,3130,2261,161,61,136.602,38.551,0.185,0.278,161.447,3130,2291,175.737,57.595,3.543,0.282,0.655
42,4570,71.787,37.938,0,131,2252.049,995.744,478.902,2184,967,151,73,150.308,38.712,9.958,0.25,154.984,2188,1040,19.604,54.469,3.883,0.258,0.671
43,4729,121.647,7.948,72,131,129.693,967.388,588.784,86,856,73,182,146.285,41.16,81.222,0.171,189.56,90,1038,73.764,56.425,3.554,0.281,0.604
44,4861,89.997,30.717,0,131,2983.479,1751.074,589.495,2916,1665,113,180,147.385,41.994,60.81,0.176,191.51,2917,1845,65.308,69.744,3.51,0.285,0.519
45,5543,107.728,26.121,0,131,2227.465,282.042,961.2,2150,189,148,180,129.316,54.576,47.787,0.075,200.36,2207,369,63.947,100.778,2.369,0.422,0.435
46,6435,53.341,34.066,0,131,3065.32,1891.416,455.831,3023,1824,87,148,151.868,53.95,68.874,0.389,153.013,3035,1970,68.129,64.057,2.815,0.355,0.784
47,7881,114.435,12.087,56,131,3956.816,2221.464,764.791,3915,2136,80,185,177.426,56.555,94.718,0.169,187.115,3949,2137,100.469,78.613,3.137,0.319,0.661
48,9141,104.032,18.803,46,131,3205.937,2918.914,935.987,3052,2856,252,103,203.807,57.106,8.712,0.131,255.556,3052,2939,11.969,86.038,3.569,0.28,0.549
49,9229,114.125,15.971,41,131,381.172,1989.659,1037.71,294,1908,176,158,124.362,94.488,43.391,0.108,178.539,294,2003,9.673,126.895,1.316,0.76,0.495
50,14779,58.711,40.638,0,131,2838.836,1849.073,1415.031,2745,1710,156,273,192.512,97.745,88.387,0.093,273.66,2817,1983,86.019,155.071,1.97,0.508,0.489
51,30485,102.93,27.157,0,131,327.927,2532.888,3583.806,23,2394,607,283,368.676,105.281,172.545,0.03,618.057,66,2406,155.633,246.021,3.502,0.286,0.249
52,38976,107.737,17.934,31,131,262.309,2832.881,3867.317,59,2647,431,351,272.097,182.383,170.545,0.033,434.954,66,2966,12.886,327.742,1.492,0.67,0.377
53,55493,88.302,37.948,0,131,3122.006,2781.25,5042.025,2833,2527,602,437,364.491,193.848,2.163,0.027,608.462,2834,2752,171.018,412.534,1.88,0.532,0.319
54,104606,81.972,41.404,0,131,1665.867,1123.608,11663.899,1274,780,761,744,457.513,291.114,36.005,0.01,795.413,1547,1522,58.888,493.824,1.572,0.636,0.33
