i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1009,129.18,4.578,116,136,2645.2909999999997,2183.257,218.69299999999998,2627,2146,42,83,80.619,15.936,111.557,0.265,88.6,2635,2146,110.48,21.355,5.059,0.198,0.682
2,1026,32.486999999999995,39.26,0,136,2079.269,1364.193,146.024,2064,1338,33,51,48.479,26.945999999999998,99.12700000000001,0.605,53.75899999999999,2074,1338,108.435,32.008,1.7990000000000002,0.556,0.8270000000000001
3,1030,119.87299999999999,11.270999999999999,90,136,3336.373,367.466,185.38,3315,349,51,43,43.402,30.215999999999998,24.685,0.377,54.037,3329,391,51.00899999999999,36.172,1.436,0.696,0.73
4,1079,63.049,39.382,0,136,955.029,1806.33,187.27900000000002,923,1787,56,39,48.16,28.526,13.862,0.387,58.18899999999999,923,1809,19.058,35.444,1.6880000000000002,0.5920000000000001,0.7829999999999999
5,1132,109.07700000000001,17.522000000000002,61,136,1989.881,766.2739999999999,700.573,1890,638,185,265,181.91,7.922999999999999,54.521,0.028999999999999998,323.187,1890,903,55.081,18.078,22.959,0.044000000000000004,0.24600000000000002
6,1218,126.464,11.095,27,136,3277.702,1727.807,333.404,3234,1692,84,71,76.71600000000001,20.215,141.175,0.138,105.0,3234,1697,143.13,33.71,3.795,0.264,0.49700000000000005
7,1246,15.404000000000002,33.369,0,136,698.556,2485.485,172.167,674,2463,50,45,52.07,30.468000000000004,142.507,0.528,55.946000000000005,674,2466,151.144,35.605,1.709,0.585,0.838
8,1260,119.928,26.695,0,136,2545.627,923.425,194.108,2520,897,55,49,57.012,28.14,138.217,0.42,64.07,2522,904,145.814,34.608000000000004,2.026,0.494,0.765
9,1341,39.812,36.078,0,136,1538.94,2827.702,210.225,1527,2781,22,92,92.79700000000001,18.399,94.044,0.381,92.34700000000001,1536,2781,94.97,21.0,5.043,0.198,0.865
10,1357,127.398,5.54,111,136,3313.175,420.251,298.735,3292,385,41,100,67.036,25.774,93.22399999999999,0.191,101.272,3292,385,99.09,39.029,2.6010000000000004,0.384,0.584
11,1479,45.208,41.965,0,136,703.206,3401.5559999999996,212.451,676,3377,61,51,65.984,28.539,30.416,0.41200000000000003,67.268,681,3428,48.013000000000005,33.541,2.312,0.433,0.764
12,1492,28.124000000000002,42.075,0,136,3060.468,2343.058,286.735,3041,2293,44,97,67.567,28.115,88.589,0.228,97.329,3062,2390,85.285,43.413000000000004,2.403,0.41600000000000004,0.5529999999999999
13,1551,24.991,41.097,0,136,1007.513,1541.345,341.907,965,1476,58,137,95.406,20.699,104.719,0.16699999999999998,145.165,965,1476,109.309,37.408,4.609,0.217,0.396
14,1683,37.108000000000004,44.626999999999995,0,136,2482.7039999999997,448.584,297.17900000000003,2444,429,77,46,71.529,29.958000000000002,7.6610000000000005,0.239,77.414,2445,438,151.44899999999998,45.597,2.388,0.419,0.604
15,1687,50.446000000000005,42.221000000000004,0,136,1009.365,1814.974,336.149,992,1765,34,126,109.272,19.657,98.93,0.188,126.25399999999999,1003,1765,93.633,27.979,5.559,0.18,0.597
16,1697,10.412,27.869,0,135,1514.717,1626.56,165.338,1492,1602,47,54,58.298,37.063,52.6,0.78,60.308,1494,1650,49.708,38.995,1.5730000000000002,0.636,0.937
17,1704,10.54,27.934,0,136,1316.954,561.065,160.85299999999998,1296,537,45,50,48.386,44.84,63.004,0.828,52.326,1308,587,63.925,45.0,1.079,0.927,0.9390000000000001
18,2639,125.458,6.428,105,136,3381.5209999999997,392.577,333.889,3347,336,73,108,110.37100000000001,30.443,57.25899999999999,0.297,119.867,3350,444,64.29,36.317,3.625,0.276,0.76
19,3280,39.861,39.444,0,136,267.144,2442.1679999999997,395.17900000000003,232,2368,56,141,106.471,39.224000000000004,83.73299999999999,0.264,141.69299999999998,273,2509,84.33,52.077,2.714,0.368,0.7
20,6718,81.475,34.723,0,136,1270.1580000000001,1425.6,664.566,1219,1331,108,171,134.726,63.489,114.745,0.191,179.324,1244,1331,107.52600000000001,79.558,2.122,0.47100000000000003,0.649
21,8960,73.33800000000001,41.955,0,136,1818.28,2774.317,479.286,1763,2683,107,169,140.583,81.149,96.189,0.49,170.83900000000003,1799,2683,98.415,103.91799999999999,1.732,0.5770000000000001,0.7559999999999999
22,61423,98.777,27.197,0,136,1049.96,2264.396,3091.513,874,1644,434,1259,739.941,105.69200000000001,75.26100000000001,0.081,1331.0539999999999,875,2903,71.061,186.55200000000002,7.001,0.14300000000000002,0.33399999999999996
